ticker,horizon,feature,n_steps,rolling_inclusion_freq,peak_inclusion_freq,inclusion_drop_from_peak,decayed_inclusion_flag,sign_flips,sign_flip_rate,mean_abs_coef,importance_slope,importance_slope_pvalue,mean_importance,decay_score
AAPL,21,rv_21d,149,1.0,1.0,0.0,False,0,0.0,0.025699,0.000511,0.0,0.132834,0.0
AAPL,21,vol_vel,149,1.0,1.0,0.0,False,0,0.0,0.000467,1.8e-05,0.0041,0.010406,0.0
AAPL,63,event_nfp_gravity,149,0.0,1.0,1.0,True,2,0.1333,0.00039,-0.000329,0.0,0.043495,0.3803
AAPL,63,event_cpi_gravity,149,0.0,1.0,1.0,True,2,0.1333,0.000426,-0.000228,0.0,0.034538,0.38
AAPL,63,mom21_TLT,149,0.0,0.875,0.875,True,2,0.1333,0.000169,-3.2e-05,0.0012,0.008533,0.3374
AAPL,63,event_fed_gravity,149,0.0,1.0,1.0,True,0,0.0,0.00086,-0.000359,0.0,0.036337,0.3366
AAPL,63,macro_inflation_fwd_5y5y,149,0.0,1.0,1.0,True,0,0.0,0.001634,-0.000295,0.0,0.031013,0.3365
AAPL,63,rv_63d,149,0.0,1.0,1.0,True,0,0.0,0.004671,-0.000285,0.0,0.036687,0.3359
AAPL,63,macro_inflation_fwd_chg_21d,149,0.0,1.0,1.0,True,0,0.0,0.000646,-1.7e-05,0.2582,0.006119,0.3342
AAPL,63,corr_sector_21d,149,0.0,1.0,1.0,True,0,0.0,0.000266,0.000201,0.0,0.019233,0.3333
AAPL,63,macro_hy_spread_chg_5d,149,0.0,1.0,1.0,True,0,0.0,0.000384,5.9e-05,0.0,0.003779,0.3333
AAPL,63,macro_inflation_fwd_abs_chg_21d,149,0.0,1.0,1.0,True,0,0.0,0.001443,1.4e-05,0.0075,0.001162,0.3333
AAPL,63,tech_RSI,149,0.0,1.0,1.0,True,0,0.0,0.000878,2e-06,0.832,0.005439,0.3333
AAPL,63,mom21_HYG,149,0.0,0.875,0.875,True,1,0.0556,0.00011,1.6e-05,0.7305,0.03328,0.3102
AAPL,63,term_structure_slope,149,0.0,0.875,0.875,True,0,0.0,3.4e-05,-0.000181,0.0,0.011652,0.2969
AAPL,63,mom21_VIXY,149,0.0,0.875,0.875,True,0,0.0,9.4e-05,-7.4e-05,0.0,0.010764,0.294
AAPL,63,res_vol,149,0.0,0.75,0.75,True,1,0.0714,0.000451,-4.1e-05,0.0535,0.037598,0.2742
AAPL,63,put_call_skew_30d,149,0.0,0.75,0.75,True,0,0.0,0.0002,7e-06,0.6994,0.010671,0.25
AAPL,63,macro_inflation_fwd_zscore,149,0.0,0.5,0.5,True,1,0.1667,0.000101,-0.000391,0.0,0.046041,0.2251
AAPL,63,corr_sector_252d,149,0.375,1.0,0.625,True,1,0.0323,0.000507,-0.000171,0.0,0.027394,0.2212
AAPL,63,macro_hy_spread,149,0.0,0.625,0.625,True,0,0.0,0.000545,-0.000343,0.0,0.037905,0.2114
AAPL,63,price_regime,149,0.0,0.625,0.625,True,0,0.0,0.000386,-0.000234,0.0,0.025997,0.2113
AAPL,63,mom21_SPY,149,0.0,0.375,0.375,True,1,0.25,1.9e-05,4.3e-05,0.0,0.006158,0.2083
AAPL,63,oi_put_call_ratio_25d,149,0.0,0.625,0.625,True,0,0.0,0.000153,,,0.0,0.2083
AAPL,63,res_vol_vel,149,0.0,0.375,0.375,True,1,0.25,7.1e-05,2.5e-05,0.0,0.001173,0.2083
AAPL,63,mom21_UUP,149,0.0,0.5,0.5,True,0,0.0,0.000165,2e-06,0.8575,0.007131,0.1667
AAPL,63,oi_hedge_pressure_chg_5d,149,0.0,0.5,0.5,True,0,0.0,5e-05,,,0.0,0.1667
AAPL,63,macro_breakeven_5y,149,0.625,1.0,0.375,True,1,0.0278,0.001224,-0.000204,0.0,0.034246,0.1362
AAPL,63,vol_regime_zscore,149,0.625,1.0,0.375,True,0,0.0,0.000932,-6.1e-05,0.2563,0.025763,0.1258
AAPL,63,event_earn_gravity,149,0.0,0.375,0.375,True,0,0.0,3e-06,2.7e-05,0.011,0.007293,0.125
AAPL,63,fear_intensity_25d,149,0.0,0.375,0.375,True,0,0.0,3e-05,,,0.0,0.125
AAPL,63,garch_cond_vol,149,0.0,0.375,0.375,True,0,0.0,2.6e-05,0.000102,0.0,0.007119,0.125
AAPL,63,macro_dollar_ret,149,0.0,0.375,0.375,True,0,0.0,1.4e-05,,,0.0,0.125
AAPL,63,ret_TARGET,149,0.0,0.375,0.375,True,0,0.0,1.5e-05,4e-06,0.0085,0.000121,0.125
AAPL,63,ret_TLT,149,0.0,0.375,0.375,True,0,0.0,1.7e-05,,,0.0,0.125
AAPL,63,ret_USO,149,0.0,0.375,0.375,True,0,0.0,2.4e-05,,,0.0,0.125
AAPL,63,ret_VIXY,149,0.0,0.375,0.375,True,0,0.0,2.3e-05,1.5e-05,0.0,0.000447,0.125
AAPL,63,tech_MACD_hist,149,0.0,0.375,0.375,True,0,0.0,4.9e-05,0.000133,0.0,0.00917,0.125
AAPL,63,vol_of_vol,149,0.0,0.375,0.375,True,0,0.0,5e-06,5.3e-05,0.0,0.006632,0.125
AAPL,63,macro_inflation_fwd_chg_63d,149,0.0,0.125,0.125,False,0,0.0,2e-06,0.000114,0.0001,0.026217,0.0417
AAPL,63,ret_SPY,149,0.0,0.125,0.125,False,0,0.0,3e-06,5e-06,0.0013,0.000168,0.0417
AAPL,63,rv_21d,149,0.0,0.125,0.125,False,0,0.0,2e-06,0.000912,0.0,0.076324,0.0417
AAPL,63,rv_126d,149,1.0,1.0,0.0,False,3,0.0366,0.008623,9.7e-05,0.0052,0.051662,0.0122
AAPL,63,beta_spy,149,1.0,1.0,0.0,False,3,0.0233,0.010168,-0.000389,0.0,0.056581,0.01
AAPL,63,vrp_wedge,149,1.0,1.0,0.0,False,1,0.0278,0.000793,0.00014,0.0,0.010114,0.0093
AAPL,63,rv_10d,149,1.0,1.0,0.0,False,1,0.0167,0.000862,0.00101,0.0,0.045578,0.0056
AAPL,63,rv_5d,149,1.0,1.0,0.0,False,1,0.0147,0.001378,0.000558,0.0,0.02243,0.0049
AAPL,63,mom21_USO,149,1.0,1.0,0.0,False,0,0.0,0.003087,-0.000179,0.0,0.018828,0.0032
AAPL,63,sector_wedge,149,0.0,0.0,0.0,False,0,0.0,0.0,-8e-05,0.0,0.011245,0.0024
AAPL,63,event_div_gravity,149,0.0,0.0,0.0,False,0,0.0,0.0,-5.8e-05,0.0,0.019626,0.001
AAPL,63,ewma_vol,149,1.0,1.0,0.0,False,0,0.0,0.000862,0.000142,0.0,0.009012,0.0
AAPL,63,iv_atm_z_score,149,1.0,1.0,0.0,False,0,0.0,0.003682,0.000101,0.0,0.02577,0.0
AAPL,63,macro_yield_curve_slope,149,1.0,1.0,0.0,False,0,0.0,0.002136,4.5e-05,0.1271,0.038476,0.0
AAPL,63,ret_HYG,149,0.0,0.0,0.0,False,0,0.0,0.0,,,0.0,0.0
AAPL,63,ret_UUP,149,0.0,0.0,0.0,False,0,0.0,0.0,,,0.0,0.0
AAPL,63,vol_chg_21d,149,1.0,1.0,0.0,False,0,0.0,0.00276,0.000119,0.0,0.014694,0.0
AAPL,63,vol_vel,149,0.0,0.0,0.0,False,0,0.0,0.0,7e-06,0.0618,0.000388,0.0
AAPL,126,garch_cond_vol,149,0.0,1.0,1.0,True,5,0.1087,0.000174,4.6e-05,0.0,0.002879,0.3696
AAPL,126,vol_vel,149,0.0,1.0,1.0,True,1,0.0278,8.8e-05,-3e-06,0.186,9.2e-05,0.3529
AAPL,126,ret_HYG,149,0.0,1.0,1.0,True,2,0.0455,0.000108,,,0.0,0.3485
AAPL,126,ret_VIXY,149,0.0,1.0,1.0,True,1,0.0333,6.9e-05,,,0.0,0.3444
AAPL,126,fear_intensity_25d,149,0.125,1.0,0.875,True,5,0.1111,0.000132,-2e-06,0.3663,7.3e-05,0.3357
AAPL,126,mom21_SPY,149,0.375,1.0,0.625,True,7,0.1296,0.000581,1.9e-05,0.0003,0.000845,0.2515
AAPL,126,event_earn_gravity,149,0.375,1.0,0.625,True,7,0.1207,0.00012,4.2e-05,0.0,0.002301,0.2486
AAPL,126,iv_atm_z_score,149,0.375,1.0,0.625,True,5,0.0943,0.000672,7.6e-05,0.0,0.004614,0.2398
AAPL,126,event_fed_gravity,149,0.375,1.0,0.625,True,6,0.0779,0.005096,-0.000578,0.0,0.048538,0.2383
AAPL,126,mom21_VIXY,149,0.375,1.0,0.625,True,6,0.0833,0.000572,9.6e-05,0.0009,0.009936,0.2361
AAPL,126,ret_TLT,149,0.375,1.0,0.625,True,3,0.0526,0.00015,,,0.0,0.2259
