date,y_true
1/6/2014,0.130661
1/7/2014,0.128942
1/8/2014,0.131608
1/9/2014,0.131333
1/10/2014,0.127753
1/13/2014,0.126086
1/14/2014,0.128324
1/15/2014,0.134874
1/16/2014,0.135236
1/17/2014,0.140956
1/21/2014,0.144871
1/22/2014,0.14617
1/23/2014,0.150065
1/24/2014,0.149474
1/27/2014,0.149408
1/28/2014,0.150459
1/29/2014,0.153602
1/30/2014,0.154504
1/31/2014,0.149679
2/3/2014,0.147421
2/4/2014,0.145773
2/5/2014,0.146216
2/6/2014,0.149402
2/7/2014,0.148297
2/10/2014,0.15078
2/11/2014,0.150394
2/12/2014,0.15164
2/13/2014,0.149787
2/14/2014,0.145079
2/18/2014,0.14913
2/19/2014,0.144223
2/20/2014,0.146159
2/21/2014,0.145593
2/24/2014,0.140825
2/25/2014,0.140257
2/26/2014,0.139488
2/27/2014,0.137858
2/28/2014,0.134086
3/3/2014,0.128605
3/4/2014,0.128102
3/5/2014,0.12654
3/6/2014,0.1265
3/7/2014,0.125895
3/10/2014,0.122263
3/11/2014,0.120333
3/12/2014,0.118068
3/13/2014,0.117315
3/14/2014,0.117531
3/17/2014,0.119357
3/18/2014,0.117839
3/19/2014,0.112827
3/20/2014,0.10848
3/21/2014,0.097724
3/24/2014,0.096099
3/25/2014,0.095979
3/26/2014,0.096539
3/27/2014,0.096696
3/28/2014,0.099693
3/31/2014,0.097734
4/1/2014,0.099984
4/2/2014,0.107155
4/3/2014,0.110014
4/4/2014,0.111145
4/7/2014,0.110444
4/8/2014,0.110204
4/9/2014,0.110665
4/10/2014,0.107923
4/11/2014,0.107025
4/14/2014,0.105418
4/15/2014,0.105907
4/16/2014,0.107428
4/17/2014,0.105102
4/21/2014,0.104853
4/22/2014,0.105682
4/23/2014,0.10597
4/24/2014,0.106466
4/25/2014,0.105887
4/28/2014,0.103931
4/29/2014,0.102345
4/30/2014,0.102617
5/1/2014,0.100531
5/2/2014,0.094255
5/5/2014,0.091001
5/6/2014,0.090256
5/7/2014,0.090173
5/8/2014,0.088449
5/9/2014,0.087239
5/12/2014,0.087066
5/13/2014,0.086102
5/14/2014,0.08505
5/15/2014,0.082359
5/16/2014,0.081732
5/19/2014,0.087813
5/20/2014,0.090708
5/21/2014,0.092761
5/22/2014,0.093714
5/23/2014,0.096564
5/27/2014,0.097999
5/28/2014,0.101912
5/29/2014,0.103831
5/30/2014,0.105316
6/2/2014,0.105387
6/3/2014,0.104447
6/4/2014,0.104744
6/5/2014,0.103525
6/6/2014,0.102555
6/9/2014,0.104897
6/10/2014,0.103821
6/11/2014,0.107837
6/12/2014,0.108702
6/13/2014,0.1091
6/16/2014,0.108234
6/17/2014,0.109552
6/18/2014,0.10627
6/19/2014,0.103864
6/20/2014,0.103337
6/23/2014,0.103117
6/24/2014,0.101613
6/25/2014,0.101191
6/26/2014,0.097503
6/27/2014,0.095378
6/30/2014,0.10081
7/1/2014,0.105338
7/2/2014,0.115322
7/3/2014,0.122475
7/7/2014,0.128212
7/8/2014,0.13329
7/9/2014,0.135561
7/10/2014,0.136772
7/11/2014,0.134125
7/14/2014,0.134102
7/15/2014,0.135646
7/16/2014,0.135943
7/17/2014,0.134443
7/18/2014,0.134056
7/21/2014,0.134093
7/22/2014,0.132528
7/23/2014,0.132538
7/24/2014,0.132177
7/25/2014,0.130703
7/28/2014,0.130524
7/29/2014,0.12905
7/30/2014,0.123124
7/31/2014,0.11947
8/1/2014,0.113926
8/4/2014,0.107081
8/5/2014,0.105906
8/6/2014,0.101144
8/7/2014,0.096447
8/8/2014,0.097048
8/11/2014,0.100843
8/12/2014,0.103819
8/13/2014,0.103366
8/14/2014,0.110225
8/15/2014,0.114592
8/18/2014,0.114672
8/19/2014,0.115299
8/20/2014,0.116109
8/21/2014,0.116523
8/22/2014,0.11667
8/25/2014,0.123723
8/26/2014,0.126039
8/27/2014,0.130996
8/28/2014,0.134637
8/29/2014,0.137042
9/2/2014,0.137167
9/3/2014,0.140447
9/4/2014,0.140306
9/5/2014,0.142926
9/8/2014,0.148107
9/9/2014,0.154558
9/10/2014,0.155455
9/11/2014,0.163301
9/12/2014,0.169534
9/15/2014,0.17755
9/16/2014,0.184642
9/17/2014,0.196326
9/18/2014,0.200219
9/19/2014,0.201214
9/22/2014,0.202724
9/23/2014,0.206451
9/24/2014,0.207986
9/25/2014,0.209274
9/26/2014,0.209571
9/29/2014,0.211011
9/30/2014,0.216282
10/1/2014,0.215523
10/2/2014,0.224492
10/3/2014,0.226544
10/6/2014,0.224787
10/7/2014,0.226496
10/8/2014,0.223133
10/9/2014,0.221683
10/10/2014,0.217072
10/13/2014,0.212545
10/14/2014,0.203261
10/15/2014,0.196655
10/16/2014,0.18469
10/17/2014,0.18028
10/20/2014,0.180123
10/21/2014,0.180168
10/22/2014,0.175538
10/23/2014,0.170027
10/24/2014,0.168445
10/27/2014,0.167411
10/28/2014,0.163806
10/29/2014,0.161377
10/30/2014,0.173712
10/31/2014,0.168731
11/3/2014,0.16484
11/4/2014,0.168652
11/5/2014,0.163392
11/6/2014,0.167688
11/7/2014,0.170798
11/10/2014,0.180188
11/11/2014,0.190968
11/12/2014,0.192595
11/13/2014,0.201196
11/14/2014,0.224216
11/17/2014,0.234958
11/18/2014,0.246108
11/19/2014,0.254757
11/20/2014,0.257521
11/21/2014,0.259502
11/24/2014,0.261818
11/25/2014,0.261338
11/26/2014,0.262704
11/28/2014,0.260036
12/1/2014,0.252949
12/2/2014,0.249554
12/3/2014,0.25546
12/4/2014,0.258398
12/5/2014,0.260196
12/8/2014,0.257301
12/9/2014,0.257276
12/10/2014,0.24964
12/11/2014,0.255545
12/12/2014,0.259763
12/15/2014,0.254321
12/16/2014,0.235754
12/17/2014,0.230125
12/18/2014,0.219084
12/19/2014,0.211931
12/22/2014,0.211071
12/23/2014,0.215843
12/24/2014,0.212842
12/26/2014,0.219748
12/29/2014,0.226749
12/30/2014,0.247701
12/31/2014,0.252241
1/2/2015,0.251876
1/5/2015,0.247715
1/6/2015,0.243315
1/7/2015,0.241429
1/8/2015,0.242308
1/9/2015,0.245071
1/12/2015,0.246109
1/13/2015,0.231247
1/14/2015,0.225
1/15/2015,0.222799
1/16/2015,0.221905
1/20/2015,0.222231
1/21/2015,0.221743
1/22/2015,0.218008
1/23/2015,0.215841
1/26/2015,0.208309
1/27/2015,0.20813
1/28/2015,0.199547
1/29/2015,0.19106
1/30/2015,0.162372
2/2/2015,0.152931
2/3/2015,0.148938
2/4/2015,0.145591
2/5/2015,0.149899
2/6/2015,0.15489
2/9/2015,0.153665
2/10/2015,0.147535
2/11/2015,0.145432
2/12/2015,0.149105
2/13/2015,0.149635
2/17/2015,0.159741
2/18/2015,0.158812
2/19/2015,0.153783
2/20/2015,0.1527
2/23/2015,0.153723
2/24/2015,0.157068
2/25/2015,0.163687
2/26/2015,0.164038
2/27/2015,0.166213
3/2/2015,0.164993
3/3/2015,0.166047
3/4/2015,0.167304
3/5/2015,0.175669
3/6/2015,0.179427
3/9/2015,0.175508
3/10/2015,0.170172
3/11/2015,0.167452
3/12/2015,0.165913
3/13/2015,0.167143
3/16/2015,0.163802
3/17/2015,0.166793
3/18/2015,0.157347
3/19/2015,0.163072
3/20/2015,0.162333
3/23/2015,0.162387
3/24/2015,0.160996
3/25/2015,0.157982
3/26/2015,0.151465
3/27/2015,0.151671
3/30/2015,0.149628
3/31/2015,0.151453
4/1/2015,0.155514
4/2/2015,0.153828
4/6/2015,0.146904
4/7/2015,0.145954
4/8/2015,0.146408
4/9/2015,0.147675
4/10/2015,0.147953
4/13/2015,0.146574
4/14/2015,0.144759
4/15/2015,0.145334
4/16/2015,0.141464
4/17/2015,0.138433
4/20/2015,0.132499
4/21/2015,0.131425
4/22/2015,0.130558
4/23/2015,0.129397
4/24/2015,0.130954
4/27/2015,0.131189
4/28/2015,0.130306
4/29/2015,0.130029
4/30/2015,0.12788
5/1/2015,0.120319
5/4/2015,0.121537
5/5/2015,0.120425
5/6/2015,0.122912
5/7/2015,0.121699
5/8/2015,0.120195
5/11/2015,0.120623
5/12/2015,0.121679
5/13/2015,0.120865
5/14/2015,0.119836
5/15/2015,0.122129
5/18/2015,0.125895
5/19/2015,0.12531
5/20/2015,0.123637
5/21/2015,0.124
5/22/2015,0.124915
5/26/2015,0.125147
5/27/2015,0.124942
5/28/2015,0.124302
5/29/2015,0.125908
6/1/2015,0.126946
6/2/2015,0.127552
6/3/2015,0.125919
6/4/2015,0.124812
6/5/2015,0.123863
6/8/2015,0.127159
6/9/2015,0.127818
6/10/2015,0.128118
6/11/2015,0.12676
6/12/2015,0.127327
6/15/2015,0.132502
6/16/2015,0.129284
6/17/2015,0.12854
