Date,Ticker,Z_Score,Forecast,Actual,Win
2020-01-02,MS,0.448016833737764,0.18713649022143025,0.32287256827200106,1
2020-01-03,MS,0.5833966778559465,0.18956546051624432,0.3284175480972485,1
2020-01-06,MS,0.4057511383581231,0.1730377338800085,0.3314831055684559,1
2020-01-07,MS,0.4048851342317911,0.17329742343917368,0.33106436846420767,1
2020-01-08,MS,0.6906444158081362,0.18954358960188356,0.32973613719265876,1
2020-01-09,MS,1.9301673027776205,0.26907239956371803,0.3291329284968405,1
2020-01-10,MS,0.5750339280280592,0.18258435399035813,0.3294980293446157,1
2020-01-13,MS,2.098115179626208,0.28038353602671406,0.3286977177729475,1
2020-01-14,MS,0.6168339675719704,0.16289093215709208,0.3297528009711352,1
2020-01-15,MS,1.3883232573300466,0.2056181764344443,0.33010752844488117,1
2020-01-16,MS,-0.3494407291181645,0.2183006309046067,0.2446201550362711,0
2020-01-17,MS,-0.5053962954937626,0.21180259909136445,0.2405037839032178,1
2020-01-21,MS,-1.0512722415304099,0.19788700943268847,0.27329098584766304,0
2020-01-22,MS,-1.093368447891825,0.19565706955743112,0.2851095566267966,0
2020-01-23,MS,-1.0880843706251953,0.19710371849840397,0.33544579019149456,0
2020-01-24,MS,-0.5155709751742216,0.24569407299320142,0.34748057069862365,0
2020-01-27,MS,-0.7224924580355995,0.24886085434628924,0.34147037021062243,0
2020-01-28,MS,-0.8631848214214595,0.2420802469549254,0.35102812611830586,0
2020-01-29,MS,-0.8859525334567112,0.24180801135621552,0.35097954244424473,0
2020-01-30,MS,-0.9686475806438647,0.23597503170438258,0.3729087749067123,0
2020-01-31,MS,-0.586888265267611,0.28445776099002584,0.3892676302621141,0
2020-02-03,MS,-0.19399569659078816,0.3085657063354308,0.39715596159423006,0
2020-02-04,MS,-0.24573354655050758,0.3102951052520456,0.417640659538757,0
2020-02-05,MS,-0.29286609979153644,0.3098847148347808,0.40435798612916546,0
2020-02-06,MS,-0.23488199502469298,0.31374220960574134,0.5208989779991394,0
2020-02-07,MS,1.5292738700059405,0.4372826849378352,0.5722579859491684,1
2020-02-10,MS,1.571763103587035,0.43966754167464434,0.5948145237031736,1
2020-02-11,MS,1.4108793531637964,0.4287184546024699,0.767243386932713,1
2020-02-12,MS,-0.07890955540681002,0.32314838456680556,1.0488772273576414,0
2020-02-13,MS,-0.1534986913280212,0.318957969084243,1.1687021639400421,0
2020-02-14,MS,4.050336327099595,0.6591762264464931,1.2094931922793717,1
2020-02-18,MS,0.8022678013698041,0.30980022886841774,1.2314127918231976,1
2020-02-19,MS,1.7078346045814026,0.3792564366080214,1.2280438760209766,1
2020-02-20,MS,2.4368665003607437,0.47127367709041335,1.2272080100779923,1
2020-02-21,MS,2.4416076345927316,0.48347744029377415,1.2335713441640321,1
2020-02-24,MS,3.1190845437404873,0.5775883682298862,1.4238757984921524,1
2020-02-25,MS,-0.9989331325520375,0.2699308151174418,1.4300746310797585,0
2020-02-26,MS,-0.9578787788084494,0.2671077700001158,1.4481385514636054,0
2020-02-27,MS,-1.1068922515584612,0.2650972256747859,1.4506036827787037,0
2020-02-28,MS,-1.1724894778640043,0.25995616013079004,1.4564791348055757,0
2020-03-02,MS,-0.08970664451794264,0.36495740111045166,1.4481093669975713,0
2020-03-03,MS,-0.6684879591374022,0.3300145206405883,1.4582479294259367,0
2020-03-04,MS,-0.7686023089858289,0.3290289650684267,1.484019705427786,0
2020-03-05,MS,-0.8308779993749601,0.34399370074744795,1.474700858800386,0
2020-03-06,MS,-0.4436416151320035,0.36503469706348424,1.514514319258567,0
2020-03-09,MS,8.899486188011744,1.3360036825140966,1.4668267895344302,1
2020-03-10,MS,8.402474540282386,1.3418413509503173,1.4726960314984197,1
2020-03-11,MS,8.222786080700923,1.3479402072542186,1.457663596631698,1
2020-03-12,MS,6.155471194743014,1.3310235224758273,1.334018374314894,1
2020-03-13,MS,2.5594567391627465,1.2832980899805155,1.1835904831805883,1
2020-03-16,MS,2.3733247347767166,1.3730177984769216,1.0177441577282218,0
2020-03-17,MS,1.5949674636789681,1.3468013257311997,0.9973212028392586,0
2020-03-18,MS,-4.011388874093194,0.8860789017006405,0.9285703800299371,1
2020-03-19,MS,1.3785880563879604,1.3467242611273869,0.9343435419412266,0
2020-03-20,MS,1.6198770182790252,1.3666605662375795,0.9317808868718495,0
2020-03-23,MS,-2.6900405011636734,1.0392650503734278,0.8912625616002702,1
2020-03-24,MS,-5.41970784009529,1.0324008956491475,0.6672098342502867,1
2020-03-25,MS,-5.619296416782278,1.0241830989695682,0.664910805974969,1
2020-03-26,MS,-5.616590425009198,1.0424424778352586,0.6545076354372178,1
2020-03-27,MS,-5.702436038647258,1.0387068314977617,0.6268020919933472,1
2020-03-30,MS,-10.584626088988783,0.6947294607231883,0.627124438329569,1
2020-03-31,MS,-10.332776268562567,0.7044847090484374,0.6341235380631721,1
2020-04-01,MS,-10.551710470423515,0.6988671119761324,0.5784688748888087,1
2020-04-02,MS,-11.321922799297635,0.6692085888288739,0.5382249520636498,1
2020-04-03,MS,-11.427330346109061,0.652303818640796,0.5384939445272034,1
2020-04-06,MS,-18.110637488676247,0.2792147640428133,0.4502968963620187,1
2020-04-07,MS,-17.550926530594058,0.26970428347007247,0.4697896006078712,1
2020-04-08,MS,-17.68144974019184,0.2666707320971469,0.4292169113234575,1
2020-04-09,MS,-17.495925422765538,0.2642926340499717,0.40258507223016443,1
2020-04-13,MS,-15.35239261694051,0.286854585460854,0.4012964239905786,1
2020-04-14,MS,-8.173267587724737,0.6803354078061061,0.4197548935849787,1
2020-04-15,MS,-11.560215475016134,0.3059435164569093,0.40901116245523694,1
