date,reason,sigma_train,rmse_train
2025-10-29,init,0.20958964135384453,1.4475436218413138
2025-12-04,bias|sign=-|mean=-0.1324|thr=0.1048,0.19920224099133874,1.4112074792027598
2025-12-11,bias|sign=-|mean=-0.1272|thr=0.0996,0.19902296962088026,1.4111464058356962
2025-12-18,bias|sign=-|mean=-0.1403|thr=0.0995,0.19899514524964454,1.4112601769085362
2026-01-29,ceiling|bd_since=30,0.19923717558795576,1.4111267372000698
2026-02-06,bias|sign=-|mean=-0.1016|thr=0.0996,0.1990014191121374,1.4109835904674926
2026-02-13,bias|sign=-|mean=-0.1727|thr=0.0995,0.19914048624954236,1.4111406906708497
2026-02-20,bias|sign=-|mean=-0.1835|thr=0.0996,0.1989019422713449,1.4111039824851017
2026-02-27,bias|sign=-|mean=-0.1814|thr=0.0995,0.19907717711153158,1.410968414439825
2026-03-06,bias|sign=-|mean=-0.1633|thr=0.0995,0.19920003540279724,1.4111065699035152
2026-03-13,bias|sign=-|mean=-0.1370|thr=0.0996,0.19884700172851502,1.4109332065112747
2026-03-20,bias|sign=-|mean=-0.1262|thr=0.0994,0.198973446251692,1.4111189141781466
2026-03-27,bias|sign=-|mean=-0.1101|thr=0.0995,0.1990396996129156,1.411198092667399
2026-04-27,bias|sign=-|mean=-0.1015|thr=0.0995,0.19894773245707817,1.4110470329504219
2026-05-04,bias|sign=-|mean=-0.1214|thr=0.0995,0.19905958811051733,1.4110804927344798
2026-05-11,bias|sign=-|mean=-0.1580|thr=0.0995,0.19906495809828495,1.4110383133634343
2026-05-18,bias|sign=-|mean=-0.1886|thr=0.0995,0.1992433475441696,1.4110304947515708
2026-05-26,bias|sign=-|mean=-0.1895|thr=0.0996,0.1990635500510196,1.411069658146729
