date,reason,sigma_train,rmse_train
2025-10-29,init,0.1732004594121815,1.722259262849492
2025-12-10,ceiling|bd_since=30,0.1638382488207025,1.7111493223130796
2026-01-21,ceiling|bd_since=30,0.1641322240416259,1.7110455418824626
2026-02-11,bias|sign=-|mean=-0.0883|thr=0.0821,0.16405194870560705,1.7111318951662333
2026-02-18,bias|sign=-|mean=-0.1099|thr=0.0820,0.16395372189962945,1.711045434732669
2026-02-25,bias|sign=-|mean=-0.1306|thr=0.0820,0.16394826735956666,1.7110239802535547
2026-03-04,bias|sign=-|mean=-0.1515|thr=0.0820,0.16391239509454353,1.7110876957340717
2026-03-11,bias|sign=-|mean=-0.0927|thr=0.0820,0.16398421161215537,1.711194263469038
2026-04-07,bias|sign=-|mean=-0.0830|thr=0.0820,0.16407941563273387,1.7109791433089612
2026-04-14,bias|sign=-|mean=-0.1213|thr=0.0820,0.1640234551379217,1.7112603426901123
2026-04-21,bias|sign=-|mean=-0.1179|thr=0.0820,0.1637215927901519,1.711081445175157
2026-04-28,bias|sign=-|mean=-0.0855|thr=0.0819,0.16397931385320016,1.7110607917167926
