date,reason,sigma_train,rmse_train
2025-10-29,init,0.26292838233773524,1.7325502489482054
2025-12-10,ceiling|bd_since=30,0.2495898178350217,1.7150622670826325
2026-01-21,ceiling|bd_since=30,0.2502612397933018,1.714937769895978
2026-03-04,ceiling|bd_since=30,0.24936616305976875,1.7150954092447597
2026-04-15,ceiling|bd_since=30,0.2500358671778874,1.7149512167874585
