date,reason,sigma_train,rmse_train
2025-10-29,init,0.1876126849826649,1.3199885205777364
2025-12-04,bias|sign=-|mean=-0.2254|thr=0.0938,0.19660844162019905,1.2980913406751566
2025-12-11,bias|sign=-|mean=-0.2164|thr=0.0983,0.19645038623334826,1.2977675511947817
2025-12-18,bias|sign=-|mean=-0.1354|thr=0.0982,0.19664462445889924,1.2979819272895283
2026-01-29,ceiling|bd_since=30,0.1964662500567795,1.2978986106629318
2026-02-05,bias|sign=-|mean=-0.1860|thr=0.0982,0.1967536513146984,1.2977092024600814
2026-02-12,bias|sign=-|mean=-0.2434|thr=0.0984,0.1971658320479231,1.297669800191765
2026-02-19,bias|sign=-|mean=-0.2769|thr=0.0986,0.19708351059185797,1.2979159849360167
2026-02-26,bias|sign=-|mean=-0.2716|thr=0.0985,0.19666637376654922,1.2980575551129632
2026-03-05,bias|sign=-|mean=-0.2063|thr=0.0983,0.19701396328365195,1.297648692129145
2026-03-12,bias|sign=-|mean=-0.1502|thr=0.0985,0.1961025499588302,1.297915827642872
2026-03-19,bias|sign=-|mean=-0.1103|thr=0.0981,0.19682102498837517,1.298005172909973
2026-03-26,bias|sign=-|mean=-0.1475|thr=0.0984,0.1958615540753481,1.297816988800908
2026-04-02,bias|sign=-|mean=-0.1797|thr=0.0979,0.1966201429904697,1.297798707753577
2026-04-09,bias|sign=-|mean=-0.1862|thr=0.0983,0.19661379777078944,1.2978756667092133
2026-04-16,bias|sign=-|mean=-0.2040|thr=0.0983,0.19644812146747878,1.2978517005548824
2026-04-23,bias|sign=-|mean=-0.1770|thr=0.0982,0.19689936447428796,1.2978086206293171
2026-04-30,bias|sign=-|mean=-0.1157|thr=0.0984,0.19698101277371186,1.2979249858564443
2026-05-07,bias|sign=-|mean=-0.1092|thr=0.0985,0.1968735480352633,1.297929719371938
2026-05-14,bias|sign=-|mean=-0.1998|thr=0.0984,0.19699388836149895,1.2979044699457907
2026-05-21,bias|sign=-|mean=-0.2637|thr=0.0985,0.1964950679089989,1.2977322726814007
