[MONITOR] Logging to /mnt/c/Users/Caleb Solomon/Documents/GitHub/volarbmodel/model/pipeline/results/monitoring
[MONITOR] Interval: 60s | RAM warn: 85% | RAM crit: 90%
[MONITOR] Press Ctrl+C to stop

[2026-04-07 06:58:09 UTC] RAM 28.0% | CPU 98.5% | GPU 1.0% | Batch 0/27 (0 tickers)
[2026-04-07 06:59:09 UTC] RAM 28.2% | CPU 91.9% | GPU 9.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:00:10 UTC] RAM 28.0% | CPU 81.0% | GPU 92.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:01:10 UTC] RAM 28.1% | CPU 92.4% | GPU 14.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:02:10 UTC] RAM 28.1% | CPU 88.1% | GPU 30.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:03:10 UTC] RAM 28.2% | CPU 78.9% | GPU 42.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:04:10 UTC] RAM 28.2% | CPU 79.8% | GPU 31.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:05:10 UTC] RAM 28.2% | CPU 88.7% | GPU 15.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:06:10 UTC] RAM 28.1% | CPU 71.9% | GPU 1.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:07:10 UTC] RAM 28.2% | CPU 94.0% | GPU 12.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:08:10 UTC] RAM 28.1% | CPU 88.0% | GPU 18.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:09:10 UTC] RAM 28.1% | CPU 91.2% | GPU 9.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:10:10 UTC] RAM 28.2% | CPU 87.2% | GPU 0.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:11:10 UTC] RAM 28.1% | CPU 67.3% | GPU 0.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:12:10 UTC] RAM 28.2% | CPU 82.2% | GPU 15.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:13:10 UTC] RAM 28.2% | CPU 97.5% | GPU 8.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:14:09 UTC] RAM 28.2% | CPU 91.8% | GPU 63.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:15:09 UTC] RAM 28.2% | CPU 65.5% | GPU 90.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:16:10 UTC] RAM 28.3% | CPU 96.2% | GPU 0.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:17:10 UTC] RAM 28.2% | CPU 89.4% | GPU 16.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:18:10 UTC] RAM 28.3% | CPU 93.5% | GPU 0.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:19:10 UTC] RAM 28.2% | CPU 97.0% | GPU 9.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:20:10 UTC] RAM 28.2% | CPU 93.5% | GPU 8.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:21:10 UTC] RAM 28.3% | CPU 95.9% | GPU 18.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:22:10 UTC] RAM 28.3% | CPU 89.0% | GPU 2.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:23:10 UTC] RAM 28.3% | CPU 88.3% | GPU 17.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:24:10 UTC] RAM 28.3% | CPU 91.0% | GPU 24.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:25:10 UTC] RAM 28.3% | CPU 97.6% | GPU 17.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:26:10 UTC] RAM 28.5% | CPU 88.0% | GPU 0.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:27:10 UTC] RAM 28.4% | CPU 62.5% | GPU 1.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:28:10 UTC] RAM 28.4% | CPU 95.8% | GPU 15.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:29:10 UTC] RAM 28.4% | CPU 80.4% | GPU 1.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:30:10 UTC] RAM 28.5% | CPU 99.4% | GPU 1.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:31:10 UTC] RAM 27.8% | CPU 87.0% | GPU 29.0% | Batch 0/27 (0 tickers)
[2026-04-07 07:32:10 UTC] RAM 25.7% | CPU 87.8% | GPU 10.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:33:10 UTC] RAM 25.8% | CPU 87.1% | GPU 1.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:34:10 UTC] RAM 25.9% | CPU 86.2% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:35:10 UTC] RAM 26.1% | CPU 89.7% | GPU 14.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:36:11 UTC] RAM 26.1% | CPU 83.5% | GPU 65.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:37:10 UTC] RAM 26.2% | CPU 84.5% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:38:10 UTC] RAM 26.3% | CPU 90.3% | GPU 65.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:39:10 UTC] RAM 26.5% | CPU 81.7% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:40:10 UTC] RAM 26.4% | CPU 91.0% | GPU 1.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:41:10 UTC] RAM 26.6% | CPU 95.2% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:42:10 UTC] RAM 26.6% | CPU 95.4% | GPU 1.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:43:10 UTC] RAM 26.6% | CPU 76.1% | GPU 63.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:44:10 UTC] RAM 26.7% | CPU 93.5% | GPU 6.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:45:10 UTC] RAM 26.8% | CPU 96.7% | GPU 18.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:46:10 UTC] RAM 26.8% | CPU 92.3% | GPU 37.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:47:10 UTC] RAM 27.0% | CPU 89.1% | GPU 1.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:48:10 UTC] RAM 26.9% | CPU 94.2% | GPU 14.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:49:10 UTC] RAM 27.0% | CPU 97.9% | GPU 72.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:50:10 UTC] RAM 27.1% | CPU 93.4% | GPU 27.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:51:09 UTC] RAM 27.2% | CPU 95.1% | GPU 1.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:52:09 UTC] RAM 27.2% | CPU 95.3% | GPU 78.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:53:09 UTC] RAM 27.2% | CPU 99.9% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:54:09 UTC] RAM 27.2% | CPU 96.5% | GPU 42.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:55:10 UTC] RAM 27.3% | CPU 95.6% | GPU 10.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:56:09 UTC] RAM 27.4% | CPU 97.3% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:57:09 UTC] RAM 27.4% | CPU 97.1% | GPU 1.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:58:09 UTC] RAM 27.5% | CPU 92.7% | GPU 14.0% | Batch 1/27 (3 tickers)
[2026-04-07 07:59:09 UTC] RAM 27.6% | CPU 75.8% | GPU 59.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:00:09 UTC] RAM 27.5% | CPU 88.0% | GPU 43.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:01:09 UTC] RAM 27.5% | CPU 90.2% | GPU 0.0% | Batch 1/27 (3 tickers)
[2026-04-07 08:02:09 UTC] RAM 27.5% | CPU 74.0% | GPU 16.0% | Batch 1/27 (3 tickers)
