ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_lambda,n_fits
D,ewma_vol,21,0.8464912280701754,0.018933120530408565,0.03649681925745606,456
D,macro_inflation_fwd_zscore,21,0.7894736842105263,0.024916720679653396,0.03649681925745606,456
D,term_structure_slope,21,0.7587719298245614,0.016048173034555125,0.03649681925745606,456
D,mom21_VIXY,21,0.7521929824561403,0.012009892940119985,0.03649681925745606,456
D,beta_spy,21,0.5789473684210527,0.010758993650018167,0.03649681925745606,456
D,macro_breakeven_5y,21,0.5416666666666666,0.017049261554147634,0.03649681925745606,456
D,mom21_TLT,21,0.5153508771929824,0.008860743030887802,0.03649681925745606,456
D,vrp_wedge,21,0.48903508771929827,0.008993536633617662,0.03649681925745606,456
D,vol_regime_zscore,21,0.4451754385964912,0.019587402254476447,0.03649681925745606,456
D,mom21_USO,21,0.42543859649122806,0.002621100358330804,0.03649681925745606,456
D,macro_inflation_fwd_chg_63d,21,0.4166666666666667,0.003118689619667881,0.03649681925745606,456
D,mom21_UUP,21,0.4057017543859649,0.003504615892443818,0.03649681925745606,456
D,macro_yield_curve_slope,21,0.38596491228070173,0.006551790505476873,0.03649681925745606,456
D,event_earn_gravity,21,0.37719298245614036,0.0020419215454324266,0.03649681925745606,456
D,price_regime,21,0.35526315789473684,0.0051956857304601,0.03649681925745606,456
D,ret_VIXY,21,0.33771929824561403,0.0011268296502973945,0.03649681925745606,456
D,iv_atm_z_score,21,0.29385964912280704,0.0072198848157956136,0.03649681925745606,456
D,res_vol,21,0.24561403508771928,0.0027690601191362268,0.03649681925745606,456
D,res_vol_vel,21,0.24342105263157895,0.0011695055304126079,0.03649681925745606,456
D,rv_126d,21,0.2324561403508772,0.012690283698021058,0.03649681925745606,456
D,macro_hy_spread_chg_5d,21,0.22807017543859648,0.0006051683647667491,0.03649681925745606,456
D,event_fed_gravity,21,0.22587719298245615,0.0026979202342515677,0.03649681925745606,456
D,macro_inflation_fwd_abs_chg_21d,21,0.21052631578947367,0.0008882449815837291,0.03649681925745606,456
