ticker,horizon,rmse,mz_alpha,mz_beta,mz_r2,qlike,event_capture_rate,n_predictions
AAPL,21,0.061294719730592175,-0.013203322638689341,1.1251138341226294,0.35580550657858345,0.03469228598950041,0.7789473684210526,2849
AAPL,63,0.04825039795373465,-0.07894791470314849,1.4460560739603752,0.48775266053433763,0.022578010373027448,0.8373983739837398,2849
AAPL,126,0.03976892068741035,-0.06997641463620019,1.3719287653893457,0.5144015183330013,0.016766582595167497,0.8835616438356164,2849
AMZN,21,0.07534342667031803,0.08174424255270804,0.6661223647460319,0.3518561058717894,0.03609117160700929,0.7987421383647799,2849
AMZN,63,0.05775263877063186,0.021836205931678537,0.942360754749322,0.4412672025268428,0.027030367102222272,1.0,2849
AMZN,126,0.046351377826052975,-0.0561921350914284,1.2836407311688078,0.5663881435068873,0.018898429921021323,0.9920634920634921,2849
XOM,21,0.07156717652931768,0.033611359663858864,0.8983730164767687,0.5116988511591358,0.03773273943266257,0.7575757575757576,2849
XOM,63,0.0719887914402664,0.013743586818829368,1.0385106782391853,0.42558480399376675,0.04192018566087665,0.6419753086419753,2849
XOM,126,0.06172447355516476,0.004453478300573049,1.0772065248304108,0.4895425004143351,0.03166972301876094,0.6230769230769231,2849
JPM,21,0.07697211507969452,-0.0029719293181160733,1.0840962463464385,0.2695016254321334,0.04578890543453444,0.6341463414634146,2849
JPM,63,0.06390693043024027,-0.015062488516732753,1.1390788429743859,0.3110622840332552,0.03348408365231041,0.6715328467153284,2849
JPM,126,0.052444799345751816,-0.060094616660163525,1.3559707849348464,0.3767420183883131,0.023869062380283693,0.6976744186046512,2849
D,21,0.057640676568630304,0.009592810963338722,1.0237418381777628,0.3892357022535071,0.03016033589412684,0.5263157894736842,2849
D,63,0.0573546634694054,0.015348762112819492,1.0136982643559733,0.24962588308738753,0.03431215320996665,0.30985915492957744,2849
D,126,0.04621405623730484,-0.02132835721632459,1.2279574542512117,0.42630959083482,0.022668672816576755,0.5669291338582677,2849
BA,21,0.12326639223926569,0.020886278772087763,1.017522072622936,0.37835185462085097,0.05356007135117097,0.7564102564102564,2849
BA,63,0.11518747919018965,0.035783270116515525,0.9504710250610027,0.36200130969824773,0.048371389727641156,0.5757575757575758,2849
BA,126,0.10408022021996215,0.024694140953989974,1.003328502656151,0.4049962773380237,0.04274552024180111,0.6496350364963503,2849
