ticker,sector,H,n,alpha,beta,R2,RMSE,MAE,QLIKE,hit_rate
CAT,Industrials,21,2676,0.0169,0.9718,0.4155,0.0626,0.0354,0.0254,0.468
CAT,Industrials,63,2676,0.0094,1.0353,0.3182,0.0596,0.0346,0.0272,0.473
CAT,Industrials,126,2676,0.0098,1.0426,0.3627,0.0504,0.0291,0.0204,0.488
CMCSA,Comm,21,2676,-0.0028,1.061,0.2731,0.0636,0.0336,0.0284,0.496
CMCSA,Comm,63,2676,-0.0313,1.2306,0.2939,0.0547,0.0295,0.0232,0.504
CMCSA,Comm,126,2676,-0.037,1.2595,0.3617,0.046,0.0262,0.018,0.511
COP,Energy,21,2676,0.0222,0.9899,0.499,0.0935,0.0467,0.0311,0.495
COP,Energy,63,2676,0.0214,1.0169,0.4073,0.0938,0.0482,0.0389,0.476
COP,Energy,126,2676,0.0355,0.9831,0.3985,0.0875,0.0478,0.0384,0.486
COST,Staples,21,2676,-0.0174,1.1629,0.3618,0.0511,0.0292,0.0323,0.475
COST,Staples,63,2676,-0.0297,1.2667,0.3746,0.0443,0.028,0.0274,0.501
COST,Staples,126,2676,-0.0401,1.3228,0.4832,0.0349,0.0237,0.0181,0.505
CVX,Energy,21,2749,0.0134,0.9908,0.476,0.07,0.035,0.0329,0.476
CVX,Energy,63,2749,0.0128,1.0336,0.3106,0.0736,0.0357,0.0398,0.482
CVX,Energy,126,2749,0.0029,1.1145,0.2979,0.068,0.035,0.0391,0.486
DE,Industrials,21,2676,0.0179,0.9628,0.4788,0.0623,0.0334,0.0247,0.493
DE,Industrials,63,2676,0.0087,1.0341,0.4202,0.0598,0.0319,0.0261,0.496
DE,Industrials,126,2676,0.0035,1.0707,0.4501,0.0534,0.0291,0.0225,0.491
DIS,Comm,21,2676,-0.0032,1.0717,0.4249,0.0647,0.0338,0.0341,0.496
DIS,Comm,63,2676,0.0085,1.0451,0.3382,0.0631,0.0323,0.0348,0.496
DIS,Comm,126,2676,-0.0457,1.3454,0.4833,0.0535,0.0292,0.027,0.516
EOG,Energy,21,2676,-0.0372,1.1845,0.5362,0.0916,0.0463,0.023,0.488
EOG,Energy,63,2676,-0.0624,1.3157,0.4445,0.0948,0.051,0.0309,0.465
EOG,Energy,126,2676,-0.0469,1.2485,0.5272,0.0806,0.046,0.0226,0.495
FCX,Materials,21,2676,0.059,0.8681,0.5862,0.1119,0.0621,0.0223,0.472
FCX,Materials,63,2676,0.0696,0.8669,0.5176,0.1119,0.0634,0.0265,0.471
FCX,Materials,126,2676,0.0595,0.8905,0.6106,0.0929,0.0596,0.0198,0.47
FDX,Industrials,21,2676,0.0044,1.032,0.3795,0.0708,0.0383,0.0331,0.488
FDX,Industrials,63,2676,-0.0281,1.2225,0.3979,0.0642,0.0361,0.0305,0.487
FDX,Industrials,126,2676,-0.0262,1.1839,0.5887,0.048,0.029,0.0174,0.507
GE,Industrials,21,2676,0.0424,0.8874,0.5024,0.0968,0.0532,0.0506,0.485
GE,Industrials,63,2676,0.0102,1.0708,0.5556,0.0858,0.0489,0.0428,0.493
GE,Industrials,126,2676,0.1455,0.4795,0.2932,0.1157,0.0474,0.034,0.486
GILD,Health Care,21,2676,-0.02,1.1046,0.3731,0.0664,0.0396,0.0296,0.492
GILD,Health Care,63,2676,-0.0546,1.2426,0.3374,0.0593,0.0386,0.0236,0.496
GILD,Health Care,126,2676,-0.0618,1.2506,0.5377,0.0429,0.0298,0.0141,0.526
GOOGL,Comm,21,1933,0.1156,0.5255,0.1795,0.0698,0.0415,0.0319,0.488
GOOGL,Comm,63,1933,0.1473,0.4007,0.1084,0.0638,0.0404,0.0307,0.484
GOOGL,Comm,126,1933,0.0633,0.7949,0.2703,0.0434,0.0314,0.0187,0.469
GS,Financials,21,2749,0.0343,0.8844,0.3013,0.0694,0.0369,0.031,0.485
GS,Financials,63,2749,0.0105,1.0244,0.2623,0.0618,0.0341,0.027,0.488
GS,Financials,126,2749,-0.025,1.1899,0.5045,0.0445,0.0261,0.0146,0.499
HD,Consumer Disc,21,2676,0.0026,1.0509,0.2418,0.0783,0.0358,0.0441,0.497
HD,Consumer Disc,63,2676,-0.0505,1.4026,0.2912,0.0681,0.0362,0.0423,0.507
HD,Consumer Disc,126,2676,-0.0576,1.4229,0.3441,0.0565,0.033,0.0326,0.516
HON,Industrials,21,2676,0.0123,0.9785,0.2982,0.0702,0.0324,0.0404,0.501
HON,Industrials,63,2676,-0.0205,1.224,0.2842,0.0648,0.0308,0.0413,0.495
HON,Industrials,126,2676,-0.0504,1.397,0.4117,0.0541,0.0267,0.029,0.516
IBM,Tech,21,2676,-0.0281,1.2568,0.3979,0.0515,0.0275,0.028,0.486
IBM,Tech,63,2676,-0.0383,1.3571,0.2982,0.0499,0.0278,0.0305,0.501
IBM,Tech,126,2676,-0.0441,1.365,0.4865,0.0381,0.022,0.0176,0.531
INTC,Tech,21,2676,-0.0037,1.0685,0.3758,0.0686,0.0381,0.0293,0.497
INTC,Tech,63,2676,-0.0127,1.1434,0.4506,0.0598,0.0353,0.0255,0.474
INTC,Tech,126,2676,-0.0229,1.1914,0.5567,0.0508,0.0329,0.0201,0.498
JNJ,Health Care,21,2676,0.0281,0.8516,0.1992,0.0551,0.0281,0.0424,0.484
JNJ,Health Care,63,2676,0.0053,1.0476,0.2562,0.0455,0.025,0.0323,0.49
JNJ,Health Care,126,2676,-0.0284,1.2616,0.4501,0.0337,0.0215,0.0193,0.52
JPM,Financials,21,2676,-0.0071,1.0823,0.2626,0.0773,0.0372,0.043,0.487
JPM,Financials,63,2676,-0.0218,1.1851,0.2854,0.0667,0.0346,0.037,0.501
JPM,Financials,126,2676,-0.0724,1.4309,0.4031,0.0539,0.0304,0.0248,0.515
KO,Staples,21,2676,-0.006,1.0972,0.3034,0.0528,0.0249,0.0346,0.487
KO,Staples,63,2676,-0.0381,1.3653,0.2836,0.0492,0.0243,0.0354,0.485
KO,Staples,126,2676,-0.0836,1.7009,0.424,0.0417,0.022,0.0273,0.513
LIN,Materials,21,2030,-0.0153,1.0139,0.9613,0.0641,0.0359,0.0265,0.33
LIN,Materials,63,2030,-0.0183,1.0054,0.9515,0.0709,0.0394,0.0283,0.33
LIN,Materials,126,2030,-0.021,1.0062,0.9463,0.0727,0.0464,0.042,0.354
LLY,Health Care,21,2676,0.0374,0.8836,0.3479,0.0629,0.036,0.0286,0.473
