horizon,metric,ICC,pearson_r,pearson_p,n
21,R2,0.9484897994568224,0.9494418846369105,1.549674429823108e-44,87
21,RMSE,0.9974418705101462,0.9974453938974154,3.2998191918461723e-99,87
63,R2,0.9948150375337826,0.9948343406378682,3.0766194242634814e-85,86
63,RMSE,0.9996984266045221,0.9997006287415376,3.8017935860632822e-137,86
126,R2,0.9739085963476767,0.9747193323329985,1.8954306596759042e-56,86
126,RMSE,0.998404867269048,0.9985049648664026,8.019014838855373e-108,86
