Ticker,Expiry,Days_to_Expiry,Zscore,RMSE,MKTIV,MODELRV
AAPL,2026-02-02,3,-0.237,1.441,0.5898,0.248
AAPL,2026-02-04,5,-0.182,1.1242,0.4775,0.2724
AAPL,2026-02-06,7,-0.302,1.0195,0.5684,0.2603
AAPL,2026-02-09,10,-0.101,0.9303,0.3617,0.2676
AAPL,2026-02-11,12,-0.117,0.7869,0.3457,0.2536
AAPL,2026-02-13,14,-0.268,0.6768,0.4071,0.226
AAPL,2026-02-20,21,-0.467,0.6271,0.4959,0.2031
AAPL,2026-02-27,28,-0.293,0.6113,0.3912,0.2121
AAPL,2026-03-06,35,-0.306,0.59,0.3811,0.2008
AAPL,2026-03-13,42,-0.18,0.6047,0.3037,0.1947
AAPL,2026-03-20,49,-0.414,0.6021,0.4386,0.1891
AAPL,2026-04-17,77,-0.235,0.6327,0.3492,0.2002
AAPL,2026-05-15,105,-0.312,0.5741,0.3998,0.2204
AAPL,2026-06-18,139,-0.564,0.2633,0.3723,0.2237
AAPL,2026-07-17,168,-0.142,0.2878,0.2723,0.2313
AAPL,2026-08-21,203,-0.261,0.2953,0.2934,0.2163
AAPL,2026-09-18,231,-0.298,0.2896,0.3137,0.2273
AAPL,2026-11-20,294,-0.147,0.0419,0.3007,0.2945
AAPL,2026-12-18,322,0.073,0.0504,0.3184,0.322
AAPL,2027-01-15,350,-0.451,0.0642,0.3472,0.3182
AAPL,2027-06-17,503,-1.178,0.0365,0.3324,0.2893
AAPL,2027-12-17,686,-1.306,0.0236,0.3107,0.2799
AAPL,2028-01-21,721,-0.958,0.0524,0.3265,0.2763
AAPL,2028-03-17,777,-0.722,0.0446,0.3032,0.271
AAPL,2028-12-15,1050,-1.099,0.056,0.3179,0.2564
AMD,2026-02-06,7,-0.229,1.0605,0.8945,0.6519
AMD,2026-02-13,14,-0.249,0.7655,0.7498,0.559
AMD,2026-02-20,21,-0.324,0.6908,0.7665,0.5427
AMD,2026-02-27,28,-0.223,0.611,0.6773,0.541
AMD,2026-03-06,35,-0.283,0.5266,0.6418,0.4926
AMD,2026-03-13,42,-0.196,0.5329,0.6081,0.5036
AMD,2026-03-20,49,-0.492,0.4676,0.7145,0.4845
AMD,2026-04-17,77,-0.202,0.3377,0.6216,0.5533
AMD,2026-05-15,105,-0.118,0.3583,0.632,0.5898
AMD,2026-06-18,139,-0.013,0.232,0.6205,0.6175
AMD,2026-07-17,168,0.03,0.1406,0.5848,0.589
AMD,2026-08-21,203,-0.115,0.1028,0.5919,0.58
AMD,2026-09-18,231,-0.323,0.1099,0.5981,0.5626
AMD,2026-11-20,294,0.001,0.0845,0.5905,0.5905
AMD,2026-12-18,322,0.076,0.0878,0.5951,0.6018
AMD,2027-01-15,350,-0.061,0.0641,0.5941,0.5901
AMD,2027-06-17,503,-1.074,0.0514,0.5997,0.5445
AMD,2027-09-17,595,-1.383,0.046,0.6021,0.5384
