ticker,sector,last_date,rv_current,rv_pct,pred_current,pred_pct,iv_current,iv_pct,vrp_current,skew_current
MRK,Health Care,2024-07-02,0.256225389637941,0.9510463378176383,0.2064362266681101,0.9200298953662183,0.19620587454491592,0.5115844544095666,-0.060290869652293,0.004139
AVGO,Tech,2024-07-02,0.34627668313630244,0.89050822122571,0.3101858992896035,0.9114349775784754,0.46943707050590944,0.9207772795216741,0.0683079786961112,-0.035617
BMY,Health Care,2024-07-02,0.2568324058257722,0.8863976083707026,0.2485554666155065,0.905829596412556,0.3612277340238789,0.9260089686098655,0.0656603874691619,-0.0598799999999999
RTX,Industrials,2024-07-02,0.19852342468926115,0.8739255014326648,0.1763684094034593,0.25501432664756446,0.20015041914285012,0.48424068767908307,0.0048449495606761,-0.049601
INTC,Tech,2024-07-02,0.30162419797465984,0.8411808669656203,0.2806408497192688,0.8703288490284006,0.5774368568476138,0.9884155455904334,0.2158734654418973,0.000958
LLY,Health Care,2024-07-02,0.2670891922694787,0.8303437967115097,0.2508216091895109,0.843796711509716,0.3745646140658887,0.9069506726457399,0.0501048256702829,-0.0006359999999999
NEE,Utilities,2024-07-02,0.23728482860039724,0.8292227204783259,0.2277664583690903,0.8692077727952168,0.24336608446992758,0.7567264573991032,0.0139733755912267,-0.04041
CVS,Health Care,2024-07-02,0.2484582117802479,0.8228699551569507,0.2512205804761133,0.9282511210762332,0.3320157461927703,0.8736920777279522,0.0626151381300465,-0.028361
MCD,Staples,2024-07-02,0.1816247386402568,0.8213751868460388,0.1714610126506524,0.8923766816143498,0.2638725728635854,0.9054559043348281,0.0469207123848321,-0.0118459999999999
MMM,Industrials,2024-07-02,0.22561827430032513,0.8127802690582959,0.2086557634492934,0.819880418535127,0.3468912848944561,0.9465620328849028,0.0585059103153672,-0.0085189999999999
NVDA,Tech,2024-07-02,0.4241744803108712,0.7944693572496263,0.4309353885382326,0.8878923766816144,0.5450333346751685,0.8116591928251121,0.0297176654652591,0.005809
PLD,REIT,2024-07-02,0.24052378065644145,0.7937219730941704,0.2182127733654752,0.7836322869955157,0.3095032452586376,0.8621076233183856,0.032266929338672,-0.044617
ORCL,Tech,2024-07-02,0.2234661755144831,0.7903587443946188,0.1852302832381543,0.640881913303438,0.2205469294455524,0.4734678624813154,-0.0123763203519641,0.0081129999999999
NKE,Consumer Disc,2024-07-02,0.23094507978565998,0.7757847533632287,0.1927210327833689,0.64050822122571,0.16010738385164822,0.10986547085201794,-0.0276561203425679,-0.029363
GS,Financials,2025-10-01,0.2510050631994093,0.775554747180793,0.2028080596047883,0.5100036376864314,0.2658728758401538,0.6171303074670571,0.0476942082975946,
C,Financials,2025-10-01,0.2631944006843139,0.7722808293925064,0.2122252560679744,0.49981811567842854,0.2834191832296259,0.6065153733528551,0.0615373243969753,
PEP,Staples,2024-07-02,0.16378982537536613,0.7567264573991032,0.1542316363398625,0.7978325859491778,0.2052394292748589,0.8086696562032885,0.0290633061831391,0.0163849999999999
TSLA,Consumer Disc,2024-07-02,0.4844894358658781,0.7559790732436472,0.4381807553187512,0.6378923766816144,0.7334404444409428,0.8733183856502242,0.2026314943272893,-0.0442679999999999
GILD,Health Care,2024-07-02,0.2374589293047038,0.7485052316890882,0.228769550020435,0.6883408071748879,0.2121687619552283,0.26756352765321373,-0.0176539744884844,0.034436
IBM,Tech,2024-07-02,0.188378575413248,0.7428998505231689,0.1965709730689228,0.9316143497757847,0.3478384594470378,0.945814648729447,0.1207752461032862,-0.0022399999999999
PFE,Health Care,2024-07-02,0.22493205147655942,0.7384155455904334,0.194186203405525,0.7115097159940209,0.2729383269993031,0.7559790732436472,0.0071597210210147,-0.0825029999999999
UNH,Health Care,2024-07-02,0.22339571167877215,0.7384155455904334,0.2303774922135721,0.8236173393124065,0.3283412157090843,0.9039611360239163,0.0775243422673814,0.0119219999999999
SBUX,Staples,2024-07-02,0.20582007084360834,0.7219730941704036,0.2319150693739094,0.8934977578475336,0.42491685672110835,0.9648729446935725,0.1505757106743644,-0.0005529999999999
APD,Materials,2024-07-02,0.20279162804297793,0.7141255605381166,0.231503682402678,0.9405829596412556,0.2837625457153809,0.8030642750373692,0.0602436991606182,0.02
JPM,Financials,2025-10-02,0.2071607138218138,0.7120401337792642,0.1761038762022409,0.4819397993311037,0.198084112479606,0.42227456258411844,0.0268029271696947,
QCOM,Tech,2024-07-02,0.2864181301087012,0.7111360239162929,0.27852695053369,0.7918535127055306,0.4527850906017968,0.8946188340807175,0.1017996734962231,-0.0058159999999999
HD,Consumer Disc,2024-07-02,0.19262216868261617,0.6961883408071748,0.1802385370514797,0.6532137518684604,0.2563909170474979,0.7451420029895366,0.032014407659392,0.0141429999999999
UPS,Industrials,2024-07-02,0.20211040072337358,0.6827354260089686,0.2061407263461301,0.7843796711509716,0.3197074465154268,0.8523916292974589,0.0806091956659254,0.0095129999999999
GE,Industrials,2024-07-02,0.28135372651190005,0.6763826606875935,0.2947154534128832,0.7840059790732437,0.356981273359112,0.680119581464873,0.0393632027941737,0.012178
CMCSA,Comm,2024-07-02,0.22344613509711148,0.6745142002989537,0.2348676219554086,0.8583707025411061,0.391244695734657,0.9544095665171899,0.1094676294578657,-0.0413059999999999
