ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_lambda,n_fits
T,iv_atm_z_score,21,0.6513157894736842,0.030250087215267285,0.065299993786085,456
T,rv_21d,21,0.5153508771929824,0.015345706440982581,0.065299993786085,456
T,term_structure_slope,21,0.40350877192982454,0.006571746334226549,0.065299993786085,456
T,res_vol,21,0.27631578947368424,0.007059959435212,0.065299993786085,456
T,put_call_skew_30d,21,0.26973684210526316,0.004905914634747375,0.065299993786085,456
T,price_regime,21,0.2565789473684211,0.007905875489619395,0.065299993786085,456
T,macro_inflation_fwd_abs_chg_21d,21,0.23464912280701755,0.0029205218613785264,0.065299993786085,456
T,macro_hy_spread_chg_5d,21,0.20833333333333334,0.002424866078000528,0.065299993786085,456
T,macro_yield_curve_slope,21,0.20175438596491227,0.005534419829607158,0.065299993786085,456
T,garch_cond_vol,21,0.19956140350877194,0.0032329569187803746,0.065299993786085,456
T,mom21_VIXY,21,0.18421052631578946,0.002472525536042927,0.065299993786085,456
T,vrp_wedge,21,0.16666666666666666,0.003291015228741782,0.065299993786085,456
T,beta_spy,21,0.1074561403508772,0.001546183166393955,0.065299993786085,456
T,ewma_vol,21,0.08552631578947369,0.0011300914868103305,0.065299993786085,456
T,macro_inflation_fwd_zscore,21,0.08333333333333333,0.0004432561057563686,0.065299993786085,456
T,mom21_USO,21,0.07456140350877193,0.00024920077517450037,0.065299993786085,456
T,vol_vel,21,0.07017543859649122,0.00029096380571659743,0.065299993786085,456
T,mom21_SPY,21,0.06578947368421052,0.001274554676243832,0.065299993786085,456
T,macro_inflation_fwd_5y5y,21,0.06359649122807018,0.0008187833093587933,0.065299993786085,456
T,macro_breakeven_5y,21,0.046052631578947366,0.00035887696207402363,0.065299993786085,456
T,tech_RSI,21,0.046052631578947366,0.00024062535668464496,0.065299993786085,456
T,res_vol_vel,21,0.03508771929824561,0.00019741190312671538,0.065299993786085,456
T,mom21_TLT,21,0.02631578947368421,0.0005152260961173912,0.065299993786085,456
T,ret_VIXY,21,0.019736842105263157,4.196066929394665e-06,0.065299993786085,456
T,vol_regime_zscore,21,0.017543859649122806,0.00018495953342483496,0.065299993786085,456
T,tech_MACD_hist,21,0.008771929824561403,3.342796167879152e-05,0.065299993786085,456
T,vol_of_vol,21,0.008771929824561403,0.0002923670991596769,0.065299993786085,456
T,mom21_HYG,21,0.006578947368421052,6.007613895334638e-05,0.065299993786085,456
T,mom21_UUP,21,0.006578947368421052,7.64842768343904e-05,0.065299993786085,456
T,ret_TARGET,21,0.006578947368421052,5.318378913219299e-06,0.065299993786085,456
T,event_fed_gravity,21,0.0043859649122807015,0.00033824324285432276,0.065299993786085,456
T,macro_inflation_fwd_chg_21d,21,0.0043859649122807015,0.00019428194652755873,0.065299993786085,456
