trial,objective,qlike,mz_beta_dev,xgb_max_depth,xgb_lr,xgb_n_est,xgb_reg_alpha,xgb_reg_lambda,xgb_gamma,xgb_colsample,xgb_min_child,xgb_subsample,rf_n_est,rf_min_leaf,rf_max_feat
43,0.051888515011212166,0.04921409979937195,0.3656784934775505,2,0.12593572449994242,250,0.12249782382161042,0.11826859410628261,0.231540343788181,0.8374614083976172,1,0.6661931249711734,150,10,log2
30,0.05240140063888367,0.04955482978207746,0.3772645528542408,2,0.13307769640417208,200,0.09890718659510553,0.19625305686139788,0.1891222073964552,0.903087864689046,1,0.6516722134562781,150,11,log2
45,0.05241589446309056,0.04949316343149004,0.3822781076389619,3,0.09376138944276866,300,0.11324900354438754,0.45054671490624726,0.19591849047325816,0.8554487780043516,1,0.6056470054581535,150,5,log2
41,0.052426631174649366,0.04963890636777002,0.37334466695530444,2,0.13959786218478581,200,0.11227841605477615,0.17250916439657285,0.17889713441382585,0.9088478195815533,1,0.654754534030571,150,11,log2
50,0.05251501484609751,0.04970069230744125,0.37512148289962405,2,0.1399440575793349,250,0.034743012907391006,0.4480457065239957,0.13206594044619674,0.6986227551134666,2,0.6012968253898092,150,14,log2
59,0.0525512542451733,0.04965894022726106,0.38028371105743086,2,0.05662874729975926,250,0.11295591879355323,0.7566529949552221,0.13733945487188598,0.7545526773726396,3,0.6600450985543174,200,14,log2
19,0.05258775859211224,0.04967765247635885,0.3814515772515163,2,0.0673008110106617,150,0.6199642782495052,1.9503452739606206,0.08049837591429114,0.9412544406948945,4,0.6996881707028251,100,5,sqrt
26,0.05264096903978406,0.05002674223752875,0.3615402330485022,2,0.09583431109102489,200,0.35985811209724705,0.3855663309055628,0.0022525753493118084,0.8237203101312063,1,0.6999159095232296,100,7,sqrt
12,0.05267763082348974,0.049843313373980215,0.37645168677464597,2,0.041405305808410724,150,0.22400622193913805,0.12259446301296716,0.3336228052393174,0.9996812193207756,3,0.9204508790278997,100,11,0.3
31,0.05276107469724801,0.0498831399795572,0.37933723239953715,2,0.1446111392842484,200,0.10712303829305816,0.17941165789613547,0.20253752451181445,0.9100286488741227,1,0.6469549946360567,150,11,log2
53,0.05279110381398634,0.0496545067247617,0.39601749262025265,2,0.09969530256265194,300,0.06070314243882844,0.4523389089541286,0.14667056677967744,0.7173408605187447,2,0.6716157184023005,150,10,log2
24,0.052848864727024006,0.050000083026956715,0.377411029255061,2,0.05175849555313526,200,0.1352615755176819,0.8470655135569463,0.11855124852560045,0.9438988894348087,2,0.6779640215572021,100,8,sqrt
57,0.05293188698870239,0.04980359018677264,0.39549316061910283,3,0.13908075451116744,250,0.019359829384471942,0.11951531123362623,0.25018167182547574,0.9387445572845513,1,0.729808902415219,150,13,0.5
58,0.05298351977925182,0.05003919747395804,0.3836875229463283,2,0.08817647470049812,300,0.14963602290025962,0.14167728792110562,0.09922771539046409,0.8677783978908782,5,0.6029404828909896,150,9,log2
35,0.05298783833876468,0.05007706113070778,0.38149555751390496,3,0.12954339762565395,200,0.08668458635208318,0.3963557643726842,0.31615178403804645,0.8906082339997018,3,0.8822693360917806,150,12,sqrt
44,0.053164529089242275,0.050002994579236425,0.39758863854528387,2,0.1256034270899437,250,0.06057721653976747,0.16409914849977733,0.23693422087310198,0.8347957040706206,1,0.6679106419607604,150,10,log2
33,0.05317381225877243,0.050079912006769256,0.3933128685921153,2,0.18988045817764135,200,0.474069186528694,0.14106691251941472,0.27394494734219077,0.7985856564899313,3,0.7098433279180992,100,13,log2
