ticker,horizon,ols_alpha,ols_beta,ols_r2,ew_alpha,ew_beta,n
AAPL,21,0.25322428663523433,1.1457839292419254,0.39412807325021687,0.0992737145355238,1.0589195925422785,2640
AAPL,63,0.5640767689332375,1.3375186833687704,0.4270644167620308,0.056732552943374204,1.0442720743456475,2640
AAPL,126,0.014208082722977133,0.9918795430088955,0.4103737356735181,0.18742538708911627,1.1309713301165127,2640
AMZN,21,-0.04645467651639201,0.9611216934993344,0.49286508334480567,-0.1427711834621057,0.8877574628093604,2640
AMZN,63,0.019259821645962294,1.0009844823441405,0.48987973561577863,-0.03369751865400428,0.9880806843846024,2640
AMZN,126,0.1211098855112489,1.0639236346193053,0.4802068889250273,0.24514963947695945,1.183140016367742,2640
BA,21,0.012260524875452816,0.9684494912975664,0.5558177855071298,-0.23053581489577235,0.8192189797855369,2640
BA,63,0.009212488518660411,0.9624085167218943,0.5870898806903959,-0.615541496346814,0.5345777781482371,2640
BA,126,0.051564162316449114,0.9916550650763319,0.6384914716622194,-0.3085056823304586,0.7855561874985513,2640
C,21,-0.053614038028844124,0.9484276149973375,0.44556112803108816,-0.23325873399790398,0.8424193791441412,2640
C,63,0.10751747457730043,1.0347383417417821,0.43269749037474325,-0.16885109166162526,0.8773355359513456,2640
C,126,0.17928420202132744,1.0962789381961588,0.6191911716563709,0.09124099049447576,1.0697009159690247,2640
CVX,21,0.08561668718531767,1.0189049933351304,0.6218042034755532,-0.019377972206051197,0.9878322433728516,2640
CVX,63,0.06801967056725933,0.9903460388157205,0.4938929782627816,-0.11720200516469381,0.9308387495556592,2640
CVX,126,0.1839795785332372,1.0461739468185116,0.4565627143841749,0.3171398520420685,1.2021553352805143,2640
GOOGL,21,-0.005307543649293089,0.9575079702493005,0.48345662784503435,-0.16912880877704994,0.8593334807731465,2137
GOOGL,63,-0.184562542005974,0.8268700381849969,0.32087499073993103,-0.23033248385974514,0.8161703696897659,2137
GOOGL,126,-0.1596687181456422,0.8423057118636047,0.33934864385535873,-0.05579950438885439,0.9302132383957705,2137
JPM,21,-0.09071442982968803,0.9407969399663032,0.36871618208461415,-0.41696507180908116,0.7479904441310697,2953
JPM,63,-0.10661681286838443,0.9251818770453906,0.3105450467375717,-0.5360271082956225,0.6649586142482787,2953
JPM,126,0.321747131409615,1.1886498821258689,0.37379803692902347,0.16526590207507974,1.1038233777908837,2953
NEE,21,0.007545118731423939,0.9756248110926478,0.4929088551100704,-0.5024629124978258,0.6401908035919618,2953
NEE,63,0.03289770007671078,0.9759367772692319,0.46398490616462684,-0.7554528080821872,0.464634852577515,2953
NEE,126,0.12122746534873574,1.0182062450663107,0.5005269698096402,-0.616117124786928,0.5596622497118886,2953
NFLX,21,-0.22571413712586785,0.8365305695391051,0.4788920197329607,-0.20456778407921683,0.9171072786167765,2953
NFLX,63,-0.12006997505509975,0.9272041283305791,0.4426619477746031,-0.2424095858830888,0.8964796288979683,2953
NFLX,126,-0.11999379828074841,0.931057442357422,0.36070627404007716,-0.3077427924370224,0.8405793238712842,2953
NVDA,21,-0.10682869093633629,0.8783639322033456,0.48607318414336087,-0.041742319190518073,0.953806676846919,2953
NVDA,63,0.01724720122450174,0.9731009870328685,0.546531600470403,-0.0002527003002148476,1.0023063730876511,2953
NVDA,126,0.014953885390726507,0.9632413625147241,0.6665724602126245,-0.06872550878644823,0.9487668539548648,2953
PG,21,0.1413085472599327,1.05504206670544,0.4115222648770082,-0.435083207819406,0.7780429526892906,2953
PG,63,0.30833285267233546,1.129629349064616,0.417841470874681,-0.5726223240454147,0.7012204657788446,2953
PG,126,0.5095404099209313,1.2294362351371189,0.524954679488425,0.35358339054584786,1.1779983033452608,2953
XOM,21,-0.003138490313919551,0.9766837410024036,0.6451933623049725,-0.5079565170243303,0.6782663227320661,2953
XOM,63,0.042234759315227466,0.983681121269006,0.574036692952672,-0.36933211867884785,0.7715736566002283,2953
XOM,126,0.15010086094377373,1.0432929382660177,0.6092378972824795,-0.025623375066687215,0.9844506862669997,2953
