ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_lambda,n_fits
TSLA,vol_regime_zscore,21,0.743421052631579,0.03989159750743386,0.03748305598831942,456
TSLA,mom21_TLT,21,0.6491228070175439,0.00972676759465743,0.03748305598831942,456
TSLA,iv_atm_z_score,21,0.5964912280701754,0.020497172405157027,0.03748305598831942,456
TSLA,rv_126d,21,0.5745614035087719,0.03574527574547234,0.03748305598831942,456
TSLA,macro_inflation_fwd_chg_21d,21,0.5701754385964912,0.011590851850238707,0.03748305598831942,456
TSLA,macro_inflation_fwd_5y5y,21,0.5285087719298246,0.025459489272304316,0.03748305598831942,456
TSLA,ewma_vol,21,0.5241228070175439,0.00927324092692977,0.03748305598831942,456
TSLA,macro_inflation_fwd_abs_chg_21d,21,0.5087719298245614,0.0034853329161704,0.03748305598831942,456
TSLA,rv_21d,21,0.47149122807017546,0.014732964955670332,0.03748305598831942,456
TSLA,macro_inflation_fwd_chg_63d,21,0.4473684210526316,0.005522811771539203,0.03748305598831942,456
TSLA,macro_hy_spread,21,0.44298245614035087,0.013789169145246902,0.03748305598831942,456
TSLA,vrp_wedge,21,0.40131578947368424,0.014697234898095138,0.03748305598831942,456
TSLA,vol_of_vol,21,0.375,0.003581035781860564,0.03748305598831942,456
TSLA,tech_MACD_hist,21,0.3618421052631579,0.0040518248779346415,0.03748305598831942,456
TSLA,macro_inflation_fwd_zscore,21,0.29605263157894735,0.006429308215220468,0.03748305598831942,456
TSLA,res_vol,21,0.28289473684210525,0.0038799674408009073,0.03748305598831942,456
TSLA,price_regime,21,0.25,0.002999215031387902,0.03748305598831942,456
TSLA,term_structure_slope,21,0.19078947368421054,0.003912003901424685,0.03748305598831942,456
TSLA,macro_breakeven_5y,21,0.17763157894736842,0.0029008472749799978,0.03748305598831942,456
TSLA,beta_spy,21,0.15789473684210525,0.0015007349782200376,0.03748305598831942,456
TSLA,mom21_UUP,21,0.13815789473684212,0.0009050384639051763,0.03748305598831942,456
TSLA,mom21_HYG,21,0.10964912280701754,0.0013565736881471523,0.03748305598831942,456
TSLA,vol_vel,21,0.09429824561403509,7.90139841207607e-05,0.03748305598831942,456
TSLA,macro_yield_curve_slope,21,0.08552631578947369,0.0008633950409459493,0.03748305598831942,456
TSLA,put_call_skew_30d,21,0.05043859649122807,0.00046916535440393584,0.03748305598831942,456
TSLA,macro_hy_spread_chg_5d,21,0.046052631578947366,0.0002090941918328149,0.03748305598831942,456
TSLA,event_fed_gravity,21,0.043859649122807015,0.0007224230078007106,0.03748305598831942,456
TSLA,res_vol_vel,21,0.03728070175438596,0.00011635614650556242,0.03748305598831942,456
TSLA,mom21_USO,21,0.03070175438596491,0.0002006787774968962,0.03748305598831942,456
TSLA,vol_chg_21d,21,0.02850877192982456,0.0003937327910423412,0.03748305598831942,456
TSLA,mom21_VIXY,21,0.021929824561403508,0.0001122623356104648,0.03748305598831942,456
TSLA,ret_VIXY,21,0.019736842105263157,5.555349256308708e-06,0.03748305598831942,456
TSLA,mom21_SPY,21,0.017543859649122806,0.00024345418292104917,0.03748305598831942,456
TSLA,ret_HYG,21,0.010964912280701754,1.7133465357189978e-05,0.03748305598831942,456
TSLA,ret_TARGET,21,0.010964912280701754,1.9813056680235505e-05,0.03748305598831942,456
TSLA,ret_UUP,21,0.010964912280701754,1.9033132347468165e-05,0.03748305598831942,456
TSLA,ret_SPY,21,0.008771929824561403,6.838698544847692e-06,0.03748305598831942,456
TSLA,ret_USO,21,0.008771929824561403,6.718602826459558e-06,0.03748305598831942,456
TSLA,garch_cond_vol,21,0.0043859649122807015,3.2413545311435613e-07,0.03748305598831942,456
TSLA,event_div_gravity,21,0.0,0.0,0.03748305598831942,456
TSLA,event_earn_gravity,21,0.0,0.0,0.03748305598831942,456
TSLA,macro_dollar_ret,21,0.0,0.0,0.03748305598831942,456
TSLA,ret_TLT,21,0.0,0.0,0.03748305598831942,456
TSLA,tech_RSI,21,0.0,0.0,0.03748305598831942,456
