ticker,mean_signed,mean_abs,std,n,bias
WFC,0.015376759277990908,0.04468153857281963,0.07867802411133287,2953,under
BKNG,-0.0005330150899230173,0.04443467927274003,0.06027692526226411,1155,neutral
AAPL,0.010628887759087895,0.043573321474532016,0.0662040560596443,2640,under
INTC,0.012374178865206555,0.04321861155106421,0.07281124100772378,2640,under
UNH,0.016780100474201066,0.043142644884243256,0.07656494420189251,2953,under
XOM,0.01325129998237606,0.04304399065629032,0.08105817396523682,2953,under
JPM,0.009270970033960074,0.04300182329579358,0.0806649741757788,2953,under
C,0.014210281858385895,0.04232840530650861,0.08518578823502321,2640,under
MO,0.008780087228592958,0.042053769394882416,0.07376128659305596,2953,under
TGT,0.013866697319246486,0.041744567390328065,0.06666764546081651,2953,under
BAC,0.008185484433720962,0.04148879745441756,0.07328117125168038,2640,under
AXP,0.019944101424694438,0.040945547928582425,0.08671662548049504,2640,under
DOW,0.014567721633728116,0.04083528042709056,0.09697660198099678,2640,under
FDX,0.01446632664405256,0.04078727832025934,0.07374704370113304,2640,under
USB,0.0108553970871104,0.040747998895519374,0.07884467931677737,2953,under
SBUX,0.01499095644918812,0.04053646511723141,0.08028991079756687,2953,under
LLY,0.01914626661136665,0.04047276309614974,0.064181435956784,2953,under
GOOGL,0.02058463645437762,0.04026669730440218,0.05864779488701088,2137,under
CVS,0.018525029017319814,0.040140955653773916,0.07378550806017786,2640,under
T,0.01575014509669158,0.04005317356003844,0.08659291495668807,2953,under
DIS,0.011625131383315895,0.039686109791752036,0.06971646397071125,2640,under
LOW,0.011470619217717082,0.039617244117355906,0.0778813038651259,2953,under
NKE,0.017447544434531635,0.03924519821110078,0.07914388083698616,2953,under
CVX,0.01919354415745266,0.038906513444746355,0.07506866151997578,2640,under
ORCL,0.015908295788408425,0.03887486946531921,0.0651325459259313,2953,under
HD,0.01920401887804831,0.03867493393353226,0.0795329334146806,2640,under
RTX,-0.0133748315095978,0.03847233384010968,0.04702047820694601,626,over
TXN,0.012873932722855546,0.03828529780144781,0.06688155241687986,2953,under
TMO,0.01297476155206237,0.0381401533196676,0.0592269612573049,2953,under
NOC,0.008667615512670642,0.03781669628885752,0.06083074515463729,2953,under
AMGN,0.006387944270486583,0.03767857972029489,0.05851509825106343,2640,under
BLK,0.008401381598431219,0.03746545446715744,0.07085644252895333,2640,under
PFE,0.014404527655417124,0.03744414040536553,0.05732831656841,2953,under
CAT,0.014364131484721132,0.037435892207132296,0.06471425099648313,2640,under
AMT,0.016964040714100303,0.03677084791888331,0.07092959648886304,2640,under
CMCSA,0.010439976397337751,0.03647137156147881,0.06595808934155857,2640,under
PLD,0.00974692578969184,0.03642219952337685,0.0715916782228481,2953,under
GS,0.008847036780235552,0.036384615871888216,0.07015298506420203,2640,under
LMT,0.010390844359763942,0.03615985736622967,0.0607580061653462,2953,under
MRK,0.013804773834762276,0.03610214765252047,0.06159341405181399,2953,under
NEE,0.016332580793285357,0.03547945876702592,0.0749119411498736,2953,under
DE,0.014671669129699428,0.03531928204402352,0.06259263741418075,2640,under
CCI,0.011334383156966908,0.03478521515489514,0.0648916180923717,2640,under
CSCO,0.0057578333621326186,0.034716387087777155,0.06469210476109087,2640,under
APD,0.013253574214907434,0.03458922292660815,0.06844670883016724,2640,under
UPS,0.011650659972054462,0.034194531813933816,0.05670255954928204,2953,under
MMM,0.010849722689047504,0.033912021806869155,0.05475263534204868,2953,under
PM,0.00816345630649981,0.033874124890310164,0.06879384161497892,2953,under
HON,0.01076817032340328,0.03359918597881689,0.07103414223888685,2640,under
AEP,0.015174903083555503,0.03350683765583426,0.07350460784616893,2640,under
BMY,0.009450866362467565,0.03299392870437351,0.05566219302463266,2640,under
ABT,0.014702714180664147,0.03251150045145429,0.05669437825652,2640,under
D,0.017006389897754135,0.031876244728523885,0.06443106714169568,2640,under
WMT,0.013248475873848111,0.031648977280336575,0.057016375136067485,2953,under
DUK,0.01441046935798412,0.03152929634849014,0.05888483648117285,2640,under
PEP,0.013745107112756172,0.031165995801177702,0.0666074116524953,2953,under
COST,0.012730414552115581,0.03078345813610076,0.052693538640529114,2640,under
SO,0.013223481539832655,0.030392458692844238,0.06425464543213591,2953,under
IBM,0.013077345633400498,0.03025106211967231,0.052862365431620914,2640,under
MCD,0.012479838788189401,0.02935421730850979,0.06726108838353825,2953,under
JNJ,0.012325003301880357,0.029026461846196117,0.05639933590321766,2640,under
CL,0.013903557722864963,0.02848641627077331,0.0638771194160435,2640,under
PG,0.010888918237051978,0.027832442940990878,0.05718858615758698,2953,under
KO,0.010302709502477997,0.02770568160174731,0.054657241002929534,2953,under
