ticker,mean_signed,mean_abs,std,n,bias
EQIX,-0.17417384306785363,0.2148190976631959,4.995258875868411,2640,over
TSLA,0.005420124554088567,0.09434708899057455,0.1445791467377643,2953,under
GILD,-0.047350276939647704,0.093246495871847,2.3024862802824377,2640,over
AMD,0.020725488969789346,0.07580600084834146,0.10249217014439896,2640,under
FCX,0.0168358439656879,0.06936305515796855,0.12059160927138932,2640,under
NVDA,0.02162760188944741,0.06895447030792254,0.09758585692774197,2953,under
NFLX,-0.006590923789872617,0.06363121788011684,0.09103409804492112,2953,over
MPC,0.01674379963155285,0.062492731225001756,0.12623686120811622,2829,under
BA,0.027352199298187635,0.05943262540247179,0.1386715811448603,2640,under
GE,0.025643779720437045,0.05656511787201421,0.09675297225295354,2953,under
SLB,0.01647960724782883,0.05445742586119911,0.10663239159058428,2953,under
AVGO,0.012564261514119626,0.05441843062891081,0.0948657883192383,2640,under
AMZN,0.0074333560208491595,0.05371536779218482,0.08114550733508277,2640,under
EOG,0.024936583910933202,0.05347577131059412,0.10328978704203501,2640,under
CRM,0.002771385876985759,0.053127700836583726,0.07924509883740655,2640,under
F,0.021080931971137962,0.05285625946287828,0.09459144460023514,2640,under
QCOM,0.02277301817149478,0.05142757055492674,0.08009768703289745,2953,under
SPG,0.015202928303186614,0.051307155138830246,0.12596625410465742,2953,under
ADBE,0.01459893644121281,0.05046807827388395,0.10969520956892517,2640,under
SCHW,0.012673926320783811,0.05016613293699529,0.09081481308884047,2953,under
NEM,0.010433558820352705,0.049915487301830014,0.08995644213704715,2953,under
COP,0.021966883756966565,0.049646007470769096,0.09559176176799916,2640,under
ABBV,0.0015224876635743325,0.04931821401155018,0.07912238151697516,2139,under
GM,0.016773005014228383,0.049119008669829115,0.0961432814609982,2640,under
AMAT,0.026103880194300058,0.04909537664104399,0.08084148214545436,2640,under
PSX,0.01503503515364875,0.04858610366892255,0.1018393457621197,2620,under
MS,0.0058143706925390705,0.04538588533965355,0.08165170825080817,2953,under
