ticker,horizon,rmse,mz_beta,mz_r2,qlike,n
MO,63,0.054885,1.04,0.4926,0.132051,2973
MO,126,0.044426,0.9881,0.53,0.089405,2973
MRK,21,0.05919,1.0408,0.3743,0.175342,2973
MRK,63,0.049979,1.1331,0.3895,0.131477,2973
MRK,126,0.037948,1.2173,0.4952,0.075321,2973
MS,21,0.07826,0.8946,0.3618,0.157181,2973
MS,63,0.06777,1.0113,0.3426,0.12709,2973
MS,126,0.048652,1.1768,0.5355,0.066737,2973
MSFT,21,0.061937,1.0255,0.4037,0.168846,2973
MSFT,63,0.05527,1.183,0.3477,0.150775,2973
MSFT,126,0.045168,1.2687,0.4072,0.099112,2973
NKE,21,0.075371,1.0418,0.4351,0.211873,2973
NKE,63,0.063753,1.2689,0.5023,0.153486,2973
NKE,126,0.053576,1.1349,0.5071,0.112665,2973
ORCL,21,0.063942,1.0447,0.5562,0.164884,2973
ORCL,63,0.056072,1.2415,0.6073,0.141411,2973
ORCL,126,0.044278,1.2514,0.7606,0.079028,2973
PFE,21,0.054156,1.0127,0.4695,0.152081,2973
PFE,63,0.04449,1.0541,0.5066,0.104633,2973
PFE,126,0.034881,1.167,0.5948,0.064403,2973
PLD,21,0.067581,0.9881,0.5065,0.152392,2973
PLD,63,0.059296,1.0694,0.5277,0.130142,2973
PLD,126,0.048876,1.1027,0.6053,0.088102,2973
QCOM,21,0.080609,0.9614,0.519,0.194312,2973
QCOM,63,0.063915,1.038,0.6113,0.120515,2973
QCOM,126,0.04626,1.0124,0.745,0.062225,2973
RTX,21,0.039557,0.5191,0.1093,0.083883,646
RTX,63,0.024873,0.7234,0.2652,0.031687,646
RTX,126,0.016351,0.9972,0.5848,0.013601,646
SLB,21,0.097973,1.0326,0.6862,0.143932,2973
SLB,63,0.101591,0.9555,0.5865,0.198289,2973
SLB,126,0.080163,0.9832,0.6898,0.14324,2973
SO,21,0.061777,0.945,0.4452,0.201013,2973
SO,63,0.057599,0.9789,0.3859,0.209263,2973
SO,126,0.046243,0.9943,0.4736,0.119991,2973
TSLA,21,0.133933,0.9062,0.418,0.156272,2973
TSLA,63,0.107314,1.0072,0.4495,0.108362,2973
TSLA,126,0.091701,1.1736,0.5155,0.085334,2973
TXN,21,0.061155,0.9913,0.4593,0.133778,2973
TXN,63,0.054273,1.134,0.4271,0.115755,2973
TXN,126,0.042394,0.9937,0.5018,0.072598,2973
UNH,21,0.072605,0.9621,0.4632,0.166133,2973
UNH,63,0.059239,1.1664,0.5319,0.119551,2973
UNH,126,0.044784,1.0261,0.6032,0.067443,2973
UPS,21,0.056356,0.9926,0.6181,0.130656,2973
UPS,63,0.048018,1.081,0.6677,0.110817,2973
UPS,126,0.036364,1.0197,0.7665,0.064263,2973
WFC,21,0.07318,1.016,0.6073,0.195627,2973
WFC,63,0.066288,1.0256,0.6283,0.164802,2973
WFC,126,0.055985,1.0048,0.7011,0.111002,2973
WMT,21,0.054777,0.9991,0.4192,0.18219,2973
WMT,63,0.048884,1.1124,0.3845,0.156344,2973
WMT,126,0.038068,1.1983,0.5262,0.093849,2973
XOM,21,0.073997,0.9701,0.6491,0.187938,2973
XOM,63,0.072252,0.9813,0.5838,0.229189,2973
XOM,126,0.063884,1.0413,0.6057,0.181203,2973
