ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_lambda,n_fits
KO,iv_atm_z_score,21,0.8070175438596491,0.03283585731845033,0.04289954926865346,456
KO,garch_cond_vol,21,0.7171052631578947,0.010320792895994147,0.04289954926865346,456
KO,rv_21d,21,0.631578947368421,0.027380203981809004,0.04289954926865346,456
KO,mom21_VIXY,21,0.4649122807017544,0.005140806010516031,0.04289954926865346,456
KO,ewma_vol,21,0.4407894736842105,0.01278045836035286,0.04289954926865346,456
KO,macro_inflation_fwd_zscore,21,0.40131578947368424,0.007364249673478858,0.04289954926865346,456
KO,macro_inflation_fwd_chg_63d,21,0.39473684210526316,0.004539119678979613,0.04289954926865346,456
KO,put_call_skew_30d,21,0.3048245614035088,0.0027876819129228096,0.04289954926865346,456
KO,macro_inflation_fwd_5y5y,21,0.3026315789473684,0.008461188733313129,0.04289954926865346,456
KO,macro_hy_spread_chg_5d,21,0.2982456140350877,0.0024150699988237092,0.04289954926865346,456
KO,macro_yield_curve_slope,21,0.2894736842105263,0.004189651880651788,0.04289954926865346,456
KO,tech_RSI,21,0.25,0.004270635136975071,0.04289954926865346,456
KO,mom21_USO,21,0.23684210526315788,0.0012566676305955245,0.04289954926865346,456
KO,vol_chg_21d,21,0.23464912280701755,0.0035435339861715036,0.04289954926865346,456
KO,beta_spy,21,0.22587719298245615,0.0026588820637909495,0.04289954926865346,456
KO,ret_VIXY,21,0.21052631578947367,0.0008800256187705024,0.04289954926865346,456
KO,macro_hy_spread,21,0.19078947368421054,0.004648293399296055,0.04289954926865346,456
KO,rv_126d,21,0.19078947368421054,0.011083413954983034,0.04289954926865346,456
KO,vol_vel,21,0.19078947368421054,0.0011342225108216938,0.04289954926865346,456
KO,vrp_wedge,21,0.18859649122807018,0.005934991296908691,0.04289954926865346,456
KO,vol_regime_zscore,21,0.18201754385964913,0.0033768695924431226,0.04289954926865346,456
KO,macro_inflation_fwd_abs_chg_21d,21,0.17763157894736842,0.0014492059607230676,0.04289954926865346,456
KO,mom21_UUP,21,0.1206140350877193,0.00029699437623676117,0.04289954926865346,456
KO,tech_MACD_hist,21,0.1162280701754386,0.0007119464875646887,0.04289954926865346,456
KO,macro_breakeven_5y,21,0.10307017543859649,0.0027640461250307267,0.04289954926865346,456
KO,term_structure_slope,21,0.09649122807017543,0.00035652952660997016,0.04289954926865346,456
KO,res_vol_vel,21,0.08771929824561403,4.813402597855417e-05,0.04289954926865346,456
KO,mom21_SPY,21,0.07675438596491228,0.0011900910046030383,0.04289954926865346,456
KO,mom21_TLT,21,0.06578947368421052,0.0002890840618956197,0.04289954926865346,456
KO,mom21_HYG,21,0.06140350877192982,0.000210700154768399,0.04289954926865346,456
KO,res_vol,21,0.05701754385964912,8.102526936970248e-05,0.04289954926865346,456
KO,macro_inflation_fwd_chg_21d,21,0.05263157894736842,5.182481887452855e-05,0.04289954926865346,456
KO,ret_HYG,21,0.02850877192982456,3.101838957615864e-05,0.04289954926865346,456
KO,price_regime,21,0.02631578947368421,0.00021249594103236227,0.04289954926865346,456
KO,vol_of_vol,21,0.019736842105263157,0.0002650390178642917,0.04289954926865346,456
KO,event_fed_gravity,21,0.015350877192982455,0.00027685529865530205,0.04289954926865346,456
KO,ret_SPY,21,0.008771929824561403,4.090227530317016e-05,0.04289954926865346,456
KO,ret_TLT,21,0.006578947368421052,7.173606335906168e-06,0.04289954926865346,456
KO,event_div_gravity,21,0.0,0.0,0.04289954926865346,456
KO,event_earn_gravity,21,0.0,0.0,0.04289954926865346,456
KO,macro_dollar_ret,21,0.0,0.0,0.04289954926865346,456
KO,ret_TARGET,21,0.0,0.0,0.04289954926865346,456
KO,ret_USO,21,0.0,0.0,0.04289954926865346,456
KO,ret_UUP,21,0.0,0.0,0.04289954926865346,456
