ticker,feature,horizon,inclusion_freq,mean_abs_coef,mean_lambda,n_fits
CSCO,rv_21d,21,0.7698019801980198,0.04104366457174084,0.06457488110672627,404
CSCO,price_regime,21,0.5767326732673267,0.014258405836883356,0.06457488110672627,404
CSCO,iv_atm_z_score,21,0.5594059405940595,0.01764420148348582,0.06457488110672627,404
CSCO,macro_hy_spread,21,0.5470297029702971,0.02221252367537182,0.06457488110672627,404
CSCO,mom21_USO,21,0.4381188118811881,0.005825626071081658,0.06457488110672627,404
CSCO,macro_inflation_fwd_chg_63d,21,0.32673267326732675,0.006733581751102996,0.06457488110672627,404
CSCO,macro_hy_spread_chg_5d,21,0.29207920792079206,0.0018244473095068614,0.06457488110672627,404
CSCO,beta_spy,21,0.27722772277227725,0.011576129073010855,0.06457488110672627,404
CSCO,rv_126d,21,0.27722772277227725,0.00533297182679583,0.06457488110672627,404
CSCO,macro_inflation_fwd_abs_chg_21d,21,0.2623762376237624,0.003075867687462872,0.06457488110672627,404
CSCO,macro_inflation_fwd_5y5y,21,0.2376237623762376,0.009550418722270458,0.06457488110672627,404
CSCO,mom21_VIXY,21,0.22772277227722773,0.005508666036703858,0.06457488110672627,404
CSCO,tech_MACD_hist,21,0.19306930693069307,0.002547440142106121,0.06457488110672627,404
CSCO,event_earn_gravity,21,0.1782178217821782,0.0007651488721991926,0.06457488110672627,404
CSCO,mom21_UUP,21,0.17574257425742573,0.0018161346854084597,0.06457488110672627,404
CSCO,vrp_wedge,21,0.15594059405940594,0.003259527601307007,0.06457488110672627,404
CSCO,macro_yield_curve_slope,21,0.15346534653465346,0.0026050299796393874,0.06457488110672627,404
CSCO,mom21_TLT,21,0.13366336633663367,0.000938809380185151,0.06457488110672627,404
CSCO,ewma_vol,21,0.12871287128712872,0.0006239077656707732,0.06457488110672627,404
CSCO,ret_VIXY,21,0.12871287128712872,0.0004563327907046179,0.06457488110672627,404
CSCO,vol_regime_zscore,21,0.12128712871287128,0.0027582562366332357,0.06457488110672627,404
CSCO,macro_inflation_fwd_chg_21d,21,0.11633663366336634,0.0008514108717369718,0.06457488110672627,404
CSCO,macro_breakeven_5y,21,0.10148514851485149,0.0019395092253615153,0.06457488110672627,404
CSCO,event_div_gravity,21,0.09653465346534654,0.0014231305132990132,0.06457488110672627,404
CSCO,vol_of_vol,21,0.09405940594059406,0.0012073813658107658,0.06457488110672627,404
CSCO,res_vol,21,0.08415841584158416,0.0013967604253772026,0.06457488110672627,404
CSCO,res_vol_vel,21,0.07178217821782178,0.000458021513361572,0.06457488110672627,404
CSCO,garch_cond_vol,21,0.06930693069306931,0.0006233045748349486,0.06457488110672627,404
CSCO,tech_RSI,21,0.06683168316831684,0.0007753414450019311,0.06457488110672627,404
CSCO,vol_chg_21d,21,0.06188118811881188,0.0005628277905970101,0.06457488110672627,404
CSCO,event_fed_gravity,21,0.054455445544554455,0.00033479655570724134,0.06457488110672627,404
CSCO,mom21_SPY,21,0.054455445544554455,0.0013965065584622372,0.06457488110672627,404
CSCO,ret_SPY,21,0.054455445544554455,0.00023984047573922813,0.06457488110672627,404
CSCO,mom21_HYG,21,0.03217821782178218,0.0001085772634055587,0.06457488110672627,404
CSCO,vol_vel,21,0.0297029702970297,0.00021695912495393795,0.06457488110672627,404
CSCO,macro_inflation_fwd_zscore,21,0.01485148514851485,5.894997376402375e-05,0.06457488110672627,404
CSCO,ret_TLT,21,0.01485148514851485,3.297993513954597e-05,0.06457488110672627,404
CSCO,put_call_skew_30d,21,0.0024752475247524753,3.989751482613257e-06,0.06457488110672627,404
CSCO,ret_HYG,21,0.0024752475247524753,3.64134098444714e-07,0.06457488110672627,404
CSCO,macro_dollar_ret,21,0.0,0.0,0.06457488110672627,404
CSCO,ret_TARGET,21,0.0,0.0,0.06457488110672627,404
CSCO,ret_USO,21,0.0,0.0,0.06457488110672627,404
CSCO,ret_UUP,21,0.0,0.0,0.06457488110672627,404
CSCO,term_structure_slope,21,0.0,0.0,0.06457488110672627,404
CSCO,rv_21d,63,0.4752475247524752,0.008177428194249197,0.06524496838605573,404
CSCO,price_regime,63,0.4207920792079208,0.009245382541175812,0.06524496838605573,404
CSCO,macro_hy_spread,63,0.35396039603960394,0.015194947632788142,0.06524496838605573,404
CSCO,mom21_USO,63,0.29207920792079206,0.00497255458316365,0.06524496838605573,404
CSCO,mom21_VIXY,63,0.26732673267326734,0.004808427667549189,0.06524496838605573,404
CSCO,macro_inflation_fwd_abs_chg_21d,63,0.25,0.0038183149927319728,0.06524496838605573,404
CSCO,macro_inflation_fwd_chg_63d,63,0.1905940594059406,0.004888934513611974,0.06524496838605573,404
CSCO,macro_inflation_fwd_5y5y,63,0.13861386138613863,0.004034051751844375,0.06524496838605573,404
CSCO,beta_spy,63,0.09900990099009901,0.0007342528543694003,0.06524496838605573,404
CSCO,macro_yield_curve_slope,63,0.09900990099009901,0.003121527820065107,0.06524496838605573,404
CSCO,mom21_TLT,63,0.06930693069306931,0.0005514191908092946,0.06524496838605573,404
CSCO,macro_inflation_fwd_zscore,63,0.06188118811881188,0.00028304783630429803,0.06524496838605573,404
CSCO,mom21_HYG,63,0.04207920792079208,0.00043227155499414664,0.06524496838605573,404
CSCO,macro_hy_spread_chg_5d,63,0.034653465346534656,6.035373645117436e-05,0.06524496838605573,404
CSCO,event_div_gravity,63,0.024752475247524754,0.0007718991830774157,0.06524496838605573,404
CSCO,vol_chg_21d,63,0.022277227722772276,0.00017236099111194017,0.06524496838605573,404
CSCO,event_fed_gravity,63,0.019801980198019802,6.54103504906432e-05,0.06524496838605573,404
CSCO,tech_RSI,63,0.019801980198019802,2.9993660988433596e-05,0.06524496838605573,404
CSCO,mom21_SPY,63,0.012376237623762377,0.00011933698219263855,0.06524496838605573,404
CSCO,vrp_wedge,63,0.012376237623762377,6.29821683501369e-05,0.06524496838605573,404
CSCO,rv_126d,63,0.007425742574257425,2.165621815024931e-05,0.06524496838605573,404
CSCO,tech_MACD_hist,63,0.007425742574257425,3.9761170553086134e-05,0.06524496838605573,404
CSCO,vol_vel,63,0.007425742574257425,6.952216631137827e-05,0.06524496838605573,404
CSCO,event_earn_gravity,63,0.0,0.0,0.06524496838605573,404
CSCO,ewma_vol,63,0.0,0.0,0.06524496838605573,404
CSCO,garch_cond_vol,63,0.0,0.0,0.06524496838605573,404
CSCO,iv_atm_z_score,63,0.0,0.0,0.06524496838605573,404
CSCO,macro_breakeven_5y,63,0.0,0.0,0.06524496838605573,404
CSCO,macro_dollar_ret,63,0.0,0.0,0.06524496838605573,404
CSCO,macro_inflation_fwd_chg_21d,63,0.0,0.0,0.06524496838605573,404
CSCO,mom21_UUP,63,0.0,0.0,0.06524496838605573,404
CSCO,put_call_skew_30d,63,0.0,0.0,0.06524496838605573,404
CSCO,res_vol,63,0.0,0.0,0.06524496838605573,404
CSCO,res_vol_vel,63,0.0,0.0,0.06524496838605573,404
CSCO,ret_HYG,63,0.0,0.0,0.06524496838605573,404
CSCO,ret_SPY,63,0.0,0.0,0.06524496838605573,404
CSCO,ret_TARGET,63,0.0,0.0,0.06524496838605573,404
CSCO,ret_TLT,63,0.0,0.0,0.06524496838605573,404
CSCO,ret_USO,63,0.0,0.0,0.06524496838605573,404
CSCO,ret_UUP,63,0.0,0.0,0.06524496838605573,404
CSCO,ret_VIXY,63,0.0,0.0,0.06524496838605573,404
CSCO,term_structure_slope,63,0.0,0.0,0.06524496838605573,404
CSCO,vol_of_vol,63,0.0,0.0,0.06524496838605573,404
CSCO,vol_regime_zscore,63,0.0,0.0,0.06524496838605573,404
CSCO,macro_yield_curve_slope,126,0.48514851485148514,0.02417337755401741,0.05015379706405142,404
CSCO,price_regime,126,0.3811881188118812,0.009614728176765473,0.05015379706405142,404
CSCO,macro_breakeven_5y,126,0.3292079207920792,0.010913630693045,0.05015379706405142,404
CSCO,macro_inflation_fwd_abs_chg_21d,126,0.3118811881188119,0.003462520787823767,0.05015379706405142,404
CSCO,mom21_TLT,126,0.3118811881188119,0.006143553142339377,0.05015379706405142,404
