ticker,n,slope,r2,t_stat,p_value,sig
SPG,2936,1.5133586593150974,0.3412404769863334,38.98494014020838,2.976660849451172e-268,*
COP,2640,1.3539005739433077,0.30788750678764776,34.25666531427669,4.362634651165651e-213,*
CVX,2640,1.2587834721890148,0.30530822764586896,34.049486915778054,5.920679914363047e-211,*
BA,2640,1.318871201937432,0.29697396729566916,33.381886984158214,4.071923594923333e-204,*
XOM,2936,1.3542651768958376,0.29584886947468614,35.11010039751164,9.081005758926589e-226,*
EOG,2640,1.334279272245799,0.28215176245346496,32.20048848893244,3.7381153819772046e-192,*
SLB,2936,1.4944836094794842,0.2732197733940157,33.211199898033655,1.3423830875439615e-205,*
C,2640,1.1013701478429074,0.2674528904644382,31.03439360960155,1.5678006935135084e-180,*
F,2640,0.4918493960073358,0.2593470162630863,30.39279460932892,3.204371518240098e-174,*
USB,2936,1.1266554686456132,0.25233164435381106,31.46744006684647,1.5770768281242967e-187,*
GS,2640,0.9087829168771805,0.22767189277657962,27.886318576711812,3.3317924494106086e-150,*
DOW,2249,1.0838601612403247,0.22703944302238444,25.69055733458409,7.800964575681349e-128,*
GM,2640,1.0341998371353902,0.22510383643303133,27.682613460010792,2.671137712915948e-148,*
AXP,2640,1.0442089560691956,0.22008437010515425,27.284009003359007,1.3495899007985715e-144,*
BAC,2640,0.8918038576119997,0.20956614419965836,26.44631644641716,6.5256165002100775e-137,*
WFC,2936,0.9997536085812676,0.20806949765352833,27.76455573777357,7.628522300442807e-151,*
MPC,2812,1.1154797165354546,0.19763864448078072,26.308984891386746,1.4751709594921385e-136,*
FCX,2640,0.8569347449453442,0.19437694656467608,25.228639481958318,5.422714492632405e-126,*
PSX,2603,1.089568023250495,0.19045532080786443,24.736959603430954,1.6630878163399424e-121,*
UPS,2936,0.6556918432274736,0.19002657714840665,26.236254990402585,1.7978586651133603e-136,*
D,2640,1.0247515535921488,0.1862488467998883,24.57187986251717,3.118471469993233e-120,*
DUK,2640,1.0040320909786113,0.1843478582083906,24.417655001426333,6.8043627723694e-119,*
SO,2936,0.9340519759718022,0.1741306276871193,24.872071487998443,4.5290010487988795e-124,*
PLD,2936,0.8846741802997848,0.16969050281924902,24.487182629987995,1.1959456721395962e-120,*
FDX,2640,0.6173957563368548,0.16964338866949658,23.215259425241022,1.2183219952994404e-108,*
DIS,2640,0.74290537178474,0.16614035678687178,22.926010512963078,3.175488411375395e-106,*
ORCL,2936,0.542778854511701,0.16043435769726277,23.67834891831501,1.4221201569481485e-113,*
LOW,2936,0.7120271282467856,0.1599604680221245,23.636682723568132,3.2590336068623575e-113,*
KO,2936,0.8344785255215262,0.15757398637076125,23.426447293151252,2.1074089924905977e-111,*
BLK,2640,0.7751052956279242,0.14790991205497117,21.398990126325742,8.235925077203581e-94,*
TGT,2936,0.4794376405709859,0.14697970771566382,22.48428404666883,2.0002071800996151e-103,*
DE,2640,0.7053624093868051,0.1465264545432654,21.281409284685544,7.031453327990972e-93,*
JPM,2936,0.7278993359189536,0.1460738790592595,22.40300040147007,9.5192810060034e-103,*
ABT,2640,0.7586323430116537,0.14164463387649506,20.864303688179536,1.3231531313459775e-89,*
NEE,2936,0.8031250370688872,0.14095628083578327,21.941415287595916,6.21055513588957e-99,*
MCD,2936,0.7375135297602976,0.13850557478278303,21.7188810100802,4.091662010887229e-97,*
HON,2640,0.8247569884345438,0.13722129197644706,20.483229838774516,1.1826493946103976e-86,*
CMCSA,2640,0.6837509270670018,0.13451481519281128,20.248489733426478,7.43510385001257e-85,*
CAT,2640,0.6601794751428544,0.13210590110487908,20.038496670986614,2.933258666891425e-83,*
SCHW,2936,0.7276791409183198,0.13095122316834962,21.026295233425888,1.5360804771905184e-91,*
MMM,2936,0.6477826430354844,0.12188029006434509,20.179942836727484,6.568435707361346e-85,*
APD,2640,0.6137641681486661,0.11602776594429254,18.607972209644615,1.0239553209211126e-72,*
TXN,2936,0.585964827050755,0.11356057327012392,19.3873883946385,6.927704017607503e-79,*
BMY,2640,0.509759973466389,0.11153211594921586,18.19769993172677,8.408288707506303e-70,*
HD,2640,0.6071958658246814,0.11079721067772041,18.13015015669445,2.510518991512714e-69,*
AMT,2640,0.7166371212679037,0.10904948037566198,17.968937707125303,3.372835276100927e-68,*
LLY,2936,0.4738246993059717,0.1058418158368255,18.635949194462505,2.395872937324752e-73,*
LMT,2936,0.7301761447214162,0.10445871458297207,18.499482825628057,2.3282765922506934e-72,*
INTC,2640,0.5348632798037104,0.1036577786472036,17.466320199081924,9.886961765688284e-65,*
UNH,2936,0.6216056235669565,0.10292818386772595,18.347783355807252,2.8717500668874912e-71,*
IBM,2640,0.460541730534811,0.09996234973936924,17.1169067662217,2.289326366645486e-62,*
GE,2936,0.44471380080169093,0.09989138866483349,18.04457350782788,4.1469502411945714e-69,*
TMO,2936,0.6205261932387273,0.09733329027978732,17.786768149080974,2.700319175584777e-67,*
PG,2936,0.6404906888139863,0.09674673653424859,17.727334813198883,7.023908564331234e-67,*
JNJ,2640,0.5846827907902878,0.09667080164326436,16.802040666595115,2.8709627481341447e-60,*
AEP,2640,0.6960308766388429,0.09534757729272436,16.674443616261115,1.992914459316977e-59,*
PM,2936,0.6417896088329752,0.09315545809470094,17.36072212980186,2.4144705772533477e-64,*
PFE,2936,0.4971753456183327,0.09185909071116938,17.22719246958764,1.9768084938066436e-63,*
SBUX,2936,0.4994386505905829,0.09010729829576725,17.045704217523074,3.372160855285656e-62,*
RTX,609,0.3095332928372458,0.08784650136141303,7.645794414776827,8.16219509018217e-14,*
WMT,2936,0.480889644954016,0.08779380383811819,16.804108571982198,1.417015771877637e-60,*
CCI,2640,0.3504934633714394,0.08615332254383401,15.77018334380675,1.2996591241214693e-53,*
NKE,2936,0.39107648527655287,0.08453200036320829,16.459591170544087,2.713954162288868e-58,*
EQIX,2640,0.5088255421699927,0.08189532629618745,15.339840901143242,6.132200388012595e-51,*
QCOM,2936,0.48589540462336084,0.07934074228451704,15.90115687156285,1.1216242829609518e-54,*
AVGO,2640,0.43557511303835533,0.07234790223266008,14.34358798003554,5.5011316293525193e-45,*
GOOGL,2120,0.39915055555971346,0.06943730611443855,12.571485269399389,5.21262447233985e-35,*
TSLA,2936,0.4606866345686793,0.06641663525484864,14.447474528483095,9.323607488982605e-46,*
ADBE,2640,0.4472479282718557,0.06476413136939807,13.515872639588727,2.680732014882794e-40,*
CSCO,2640,0.36273354078587877,0.06237933687307984,13.247812951321816,7.854878878737862e-39,*
ABBV,2139,0.513902330578413,0.05973410532155321,11.651667986116605,1.836927662191947e-30,*
COST,2640,0.43596131776119956,0.059700430038544194,12.941750013217515,3.4584900883592275e-37,*
CVS,2640,0.4243762219361894,0.059254466131975714,12.890265357937572,6.4880358746932465e-37,*
MRK,2936,0.4193624251767312,0.05849046217275311,13.500822245728948,2.4163019186704553e-40,*
AMGN,2640,0.47794459633731057,0.057476674055185306,12.683442859850821,7.945989194239623e-36,*
AMAT,2640,0.43415002257220137,0.0568646312397606,12.611637909519482,1.880621464741299e-35,*
AAPL,2640,0.40602079500382804,0.05676474210020266,12.599888937827629,2.16443688766437e-35,*
BKNG,1138,0.34704010742764607,0.0554083911258213,8.163095813069123,8.604543359208083e-16,*
GILD,2640,0.40590588642019554,0.052496374846829674,12.089591109406479,8.678763091084878e-33,*
NEM,2936,0.40310078401063576,0.04360415001621287,11.565785293921072,2.758696804234514e-30,*
