ticker,n,slope,r2,t_stat,p_value,sig
NOC,2936,0.47439578515039477,0.0432680924739306,11.519106678157026,4.6364591290111365e-30,*
AMD,2640,0.21692876349052645,0.034478122844636694,9.705728591349692,6.595284044364704e-22,*
PEP,2936,0.3122578122528088,0.030384236760477412,9.588582005541578,1.836378209351661e-21,*
MO,2936,0.30517705510915655,0.029224049694471343,9.39811487632571,1.0816994628620061e-20,*
CL,2640,0.27281196301020055,0.02891638380357653,8.86300659316838,1.4022367316231589e-18,*
NFLX,2936,0.21952369977513186,0.02801169328648756,9.195370146217968,6.890647575142681e-20,*
CRM,2640,0.23617144117779956,0.023266040391122123,7.927029795371004,3.28225759993687e-15,*
AMZN,2640,0.2032698677613359,0.02150602127788004,7.614446724504334,3.6644114567225126e-14,*
NVDA,2936,0.21360978591950885,0.014656423006679464,6.606176994133794,4.6651858144791816e-11,*
T,2936,0.13089583298048177,0.011410119793138773,5.819250821185936,6.5501250815917184e-09,*
MS,2936,-0.0012609094226308352,0.0013088564859718987,-1.9609226828349655,0.049982508154439366,*
