x,y,slope,intercept,r2,t_stat,p_value,sig
|vrp_wedge|,y_true (RV),0.02407309739884847,0.21881619871288766,0.005457765373667156,36.83661995679056,3.0693211161539813e-296,*
|vrp_wedge|,|residual|,0.006341097737543736,0.04447972829679871,1.3599925317908657e-05,1.8338135314810362,0.06668287957415589,~
vrp_wedge (signed),y_true (RV),0.017693319932484616,0.21953098255967263,0.0029957700209584104,27.25773046948584,2.3524865479507454e-163,*
put_call_skew_30d,y_true (RV),0.035353522001337276,0.2194837913198272,0.0025352948930928987,25.069716929092618,1.5877377854971152e-138,*
