ticker,horizon,rmse,mz_alpha,mz_beta,mz_r2,n,v8_beta,v8_r2,delta_beta_to_1,delta_r2,v8_in_band,v10_in_band
RTX,63,0.024873,-0.4797,0.7234,0.2652,646,0.2622894498920176,0.0365895862447536,-0.4611105501079824,0.22861041375524638,False,True
RTX,126,0.016351,-0.0295,0.9972,0.5848,646,0.8660955277406043,0.4228065348362295,-0.1311044722593957,0.1619934651637705,True,True
SLB,21,0.097973,0.0636,1.0326,0.6862,2973,0.5810634686394602,0.1804372984092705,-0.3863365313605398,0.5057627015907296,False,True
SLB,63,0.101591,-0.0203,0.9555,0.5865,2973,0.3285445849985438,0.086642252636916,-0.6269554150014562,0.499857747363084,False,True
SLB,126,0.080163,0.023,0.9832,0.6898,2973,0.505442804326848,0.2083096551274839,-0.477757195673152,0.4814903448725161,False,True
SO,21,0.061777,-0.063,0.945,0.4452,2973,0.8035666708562429,0.2058917825840966,-0.14143332914375706,0.23930821741590338,True,True
SO,63,0.057599,0.0259,0.9789,0.3859,2973,0.602802924125431,0.0907168499753172,-0.376097075874569,0.2951831500246828,False,True
SO,126,0.046243,0.0339,0.9943,0.4736,2973,0.3964445323094646,0.0720640315487806,-0.5978554676905354,0.4015359684512194,False,True
TSLA,21,0.133933,-0.1013,0.9062,0.418,2973,0.505500109191311,0.080788702101356,-0.40069989080868895,0.337211297898644,False,True
TSLA,63,0.107314,0.0133,1.0072,0.4495,2973,0.3276543457314123,0.0257627709150639,-0.6651456542685876,0.4237372290849361,False,True
TSLA,126,0.091701,0.1869,1.1736,0.5155,2973,0.2514016917534852,0.0108439297457785,-0.5749983082465149,0.5046560702542214,False,True
TXN,21,0.061155,0.0205,0.9913,0.4593,2973,0.2287437241807202,0.0233538628969175,-0.7625562758192798,0.4359461371030825,False,True
TXN,63,0.054273,0.2732,1.134,0.4271,2973,0.0463054541741987,0.0007650015586813,-0.8196945458258014,0.42633499844131867,False,True
TXN,126,0.042394,0.0381,0.9937,0.5018,2973,0.4854657181866115,0.1615757272815312,-0.5082342818133885,0.34022427271846883,False,True
UNH,21,0.072605,-0.0296,0.9621,0.4632,2973,1.145606351480133,0.3644343429893564,-0.10770635148013286,0.0987656570106436,True,True
UNH,63,0.059239,0.3054,1.1664,0.5319,2973,0.56032686134927,0.2015847947518654,-0.2732731386507299,0.3303152052481346,False,True
UNH,126,0.044784,0.0665,1.0261,0.6032,2973,0.5536697830164283,0.1767162763766537,-0.42023021698357166,0.42648372362334624,False,True
UPS,21,0.056356,0.0234,0.9926,0.6181,2973,0.3516475147408283,0.0591890169218187,-0.6409524852591718,0.5589109830781813,False,True
UPS,63,0.048018,0.2098,1.081,0.6677,2973,0.1360369511971654,0.0057765116554777,-0.7829630488028346,0.6619234883445223,False,True
UPS,126,0.036364,0.0953,1.0197,0.7665,2973,0.3229813367672313,0.0594609938568746,-0.6573186632327687,0.7070390061431253,False,True
WFC,21,0.07318,0.0585,1.016,0.6073,2973,0.3057554979017178,0.0346418079995779,-0.6782445020982821,0.572658192000422,False,True
WFC,63,0.066288,0.0992,1.0256,0.6283,2973,0.1351985856416484,0.0084553105527858,-0.8392014143583515,0.6198446894472142,False,True
WFC,126,0.055985,0.0762,1.0048,0.7011,2973,0.4901956018500966,0.110396919412063,-0.5050043981499035,0.590703080587937,False,True
WMT,21,0.054777,0.0439,0.9991,0.4192,2973,0.5848470431590573,0.1096327154198951,-0.41425295684094265,0.3095672845801049,False,True
WMT,63,0.048884,0.2779,1.1124,0.3845,2973,-0.0288341577751412,0.0002357752706954,-0.9164341577751411,0.3842642247293046,False,True
WMT,126,0.038068,0.4379,1.1983,0.5262,2973,1.3070783486747932,0.2983092193532133,-0.1087783486747933,0.2278907806467867,False,True
XOM,21,0.073997,-0.0156,0.9701,0.6491,2973,0.4516844151382059,0.1021805032405246,-0.5184155848617941,0.5469194967594754,False,True
XOM,63,0.072252,0.0354,0.9813,0.5838,2973,0.4850948824958767,0.1305075620741655,-0.4962051175041232,0.4532924379258345,False,True
XOM,126,0.063884,0.1482,1.0413,0.6057,2973,0.7321638634732031,0.2038971986619649,-0.22653613652679705,0.40180280133803514,True,True
