lag,mean_acf,std_acf,sig_band,significant
1,0.9604115656712742,0.11178447572603138,0.03751269311450526,True
2,0.9322136795574566,0.12687799641316283,0.03751269311450526,True
3,0.9005482340821428,0.14452393316230333,0.03751269311450526,True
4,0.8695311357049946,0.14182698553657244,0.03751269311450526,True
5,0.8364262989034837,0.13818167244828014,0.03751269311450526,True
6,0.8014971216052893,0.13428518664971098,0.03751269311450526,True
7,0.765192632588287,0.13042690395578133,0.03751269311450526,True
8,0.727447554439268,0.1264526997220097,0.03751269311450526,True
9,0.6887078687063838,0.12222492383157005,0.03751269311450526,True
10,0.6483325678695141,0.11815654249999144,0.03751269311450526,True
