ticker,avg_dv_M,iv_days
STJ,132.0,252
WHR,132.0,252
TDSC,132.0,252
DDD,132.0,252
PH,132.0,252
OEC,132.0,252
FE,132.0,252
LTD,130.0,252
BBWI,130.0,252
AKAM,130.0,252
BKR,130.0,252
BSX,129.0,252
WY,129.0,252
CAH,129.0,252
APD,128.0,252
MRVL,128.0,252
PPL,127.0,252
MAR,127.0,252
MJN,126.0,252
EL,125.0,252
SWY,124.0,252
PCG,124.0,252
HCA,124.0,252
HMT,124.0,252
ICE,123.0,252
ANF,123.0,252
SHW,123.0,252
TIF,123.0,252
AHAA,122.0,252
SWKS,122.0,252
AHA,122.0,252
EA,122.0,252
ERTS,122.0,252
DINO,122.0,252
HOC,122.0,252
HFC,122.0,252
ROST,122.0,252
DLTR,121.0,252
DHI,121.0,252
ATVI,121.0,252
ADSK,120.0,252
LUV,120.0,252
CNX,120.0,252
KEY,120.0,252
LRCX,119.0,252
MOT,119.0,252
MSI,119.0,252
IVGN,118.0,252
LIFE,118.0,252
SYY,117.0,252
WLL,117.0,252
ACI,117.0,252
FLR,116.0,252
KLAC,116.0,252
VFC,115.0,252
LBTYA,115.0,252
BEN,115.0,252
PCAR,115.0,252
NUE,115.0,252
CB,115.0,252
AOC,114.0,252
AON,114.0,252
CXO,113.0,252
PRGO,113.0,252
CREE,113.0,252
BFH,113.0,252
ADS,113.0,252
SWK,112.0,252
SE,111.0,252
K,111.0,252
OVV,111.0,252
COR,110.0,252
ABC,110.0,252
ASHC,110.0,252
TYSNA,110.0,252
TSN,110.0,252
HANS,110.0,252
SYK,110.0,252
STRY,110.0,252
TROW,110.0,252
CAG,110.0,252
WU,109.0,252
WOLF,109.0,252
CHEX,109.0,252
LNG,109.0,252
CXY,109.0,252
ED,109.0,252
ADI,109.0,252
URI,109.0,252
UAA,109.0,252
UARM,109.0,252
ECL,108.0,252
CMCSK,108.0,252
AVGO,108.0,252
AGO,108.0,252
NBR,108.0,252
AMP,108.0,252
RAI,108.0,252
RJR,108.0,252
VIA,107.0,252
MAT,107.0,252
PEG,106.0,252
CLR,106.0,252
FRX,106.0,252
XRX,106.0,252
NOBE,106.0,252
JWN,106.0,252
UW,105.0,252
WM,105.0,252
WMI,105.0,252
EQT,105.0,252
MUR,105.0,252
LB,105.0,252
TMUS,105.0,252
PCS,105.0,252
EMN,105.0,252
HSH,105.0,252
SLE,105.0,252
GME,105.0,252
TDC,104.0,252
SUN,104.0,252
RHT,104.0,252
RHAT,104.0,252
ZBH,103.0,252
ZMH,103.0,252
DISH,103.0,252
FDO,103.0,252
ORLY,103.0,252
FOSL,103.0,252
OMC,102.0,252
AUD,102.0,252
BDX,102.0,252
EIX,101.0,252
SCE,101.0,252
FTI,101.0,252
NYX,101.0,219
ETR,100.0,252
