ticker,n,inv_21_63_rate,inv_63_126_rate,inv_any_rate
FCX,2516,0.4626391096979332,0.46701112877583467,0.735691573926868
EQIX,2516,0.44435612082670906,0.5155007949125596,0.7313195548489666
AXP,2516,0.4666136724960254,0.4908585055643879,0.7233704292527822
FDX,2829,0.45351714386709086,0.45669848002827856,0.7182750088370449
LMT,2829,0.4146341463414634,0.5203252032520326,0.7161541180629197
CVX,2829,0.49522799575821846,0.4432661717921527,0.7158006362672322
COP,2516,0.47297297297297297,0.4733704292527822,0.7150238473767886
NOC,2829,0.4404383174266525,0.4740190880169671,0.7076705549664192
INTC,2516,0.43402225755166934,0.4944356120826709,0.7054848966613673
SLB,2829,0.4835630965005302,0.4634146341463415,0.7051961823966065
LIN,2183,0.5263398992212551,0.37700412276683465,0.7017865322950069
APD,2516,0.47297297297297297,0.45906200317965024,0.701510333863275
GS,2516,0.4578696343402226,0.47019077901430845,0.699523052464229
MS,2829,0.4061505832449629,0.5295157299399081,0.6984800282785436
TSLA,2829,0.41569459172852596,0.5086603039943443,0.6981265464828561
NEE,2829,0.4337221633085896,0.49628844114528103,0.6967126193001061
AEP,2516,0.4709856915739269,0.4113672496025437,0.6963434022257552
F,2516,0.5059618441971383,0.42845786963434024,0.6963434022257552
PM,2829,0.4057971014492754,0.43619653587840224,0.695298692117356
DIS,2516,0.45866454689984104,0.44753577106518283,0.690779014308426
DE,2516,0.4785373608903021,0.4682034976152623,0.690779014308426
CCI,2516,0.43481717011128773,0.47655007949125594,0.6899841017488076
IBM,2516,0.45707472178060415,0.4149443561208267,0.6883942766295708
MU,2829,0.4110993283845882,0.5153764581124072,0.6843407564510428
GM,2516,0.5178855325914149,0.35532591414944353,0.6800476947535771
DUK,2516,0.4189189189189189,0.4626391096979332,0.678060413354531
ADBE,2516,0.43124006359300476,0.46701112877583467,0.678060413354531
DOW,2516,0.5091414944356121,0.3541335453100159,0.6768680445151033
EOG,2516,0.49920508744038156,0.43441971383147854,0.6736883942766295
HON,2516,0.462241653418124,0.4360095389507154,0.6701112877583466
D,2516,0.4566772655007949,0.42686804451510335,0.6685214626391097
CAT,2516,0.46303656597774245,0.44872813990461047,0.6681240063593005
TMO,2829,0.45033580770590315,0.4252386002120891,0.6666666666666666
CRM,2516,0.4161367249602544,0.4491255961844197,0.6661367249602543
AMGN,2516,0.4419713831478537,0.4360095389507154,0.6657392686804452
WFC,2829,0.4135737009544008,0.38989042064333684,0.6638388123011665
PG,2829,0.4110993283845882,0.45846588900671614,0.6606574761399788
XOM,2829,0.4492753623188406,0.4178154825026511,0.6592435489572287
UPS,2829,0.4736656062212796,0.36090491339696007,0.656769176387416
AMD,2516,0.352543720190779,0.47217806041335453,0.6558028616852146
MPC,2705,0.42735674676524954,0.42846580406654344,0.6550831792975971
CMCSA,2516,0.4292527821939587,0.43839427662957076,0.6534181240063593
TXN,2829,0.42347119123365146,0.45068928950159065,0.6525273948391658
BAC,2829,0.37787203958996113,0.43160127253446445,0.6514669494521033
LOW,2829,0.39943442912689997,0.4323082361258395,0.648639095086603
QCOM,2829,0.42948038176033937,0.3612583951926476,0.6475786496995405
KO,2829,0.3948391657829622,0.4171085189112761,0.6465182043124779
AVGO,2516,0.43839427662957076,0.38553259141494434,0.6418918918918919
TGT,2829,0.4354895722870272,0.4068575468363379,0.6412159773771651
JNJ,2516,0.4809220985691574,0.30723370429252783,0.6395071542130366
SPG,2829,0.40367621067515025,0.4404383174266525,0.6390950866030399
MSFT,2829,0.4019088016967126,0.44255920820077765,0.6387416048073524
LLY,2829,0.423824673029339,0.3909508660303994,0.6366207140332273
NKE,2829,0.44609402615765287,0.3407564510427713,0.6362672322375398
USB,2829,0.40791799222340047,0.4181689642983386,0.6348533050547897
MRK,2829,0.4404383174266525,0.328384588193708,0.6337928596677271
UNH,2829,0.4033227288794627,0.4517497348886532,0.633085896076352
SBUX,2829,0.4029692470837752,0.3867090844821492,0.6327324142806645
PEP,2829,0.4301873453517144,0.3796394485683987,0.631671968893602
PLD,2829,0.41180629197596325,0.42028985507246375,0.630965005302227
COST,2516,0.4224960254372019,0.38195548489666137,0.6303656597774245
MMM,2829,0.4026157652880877,0.44255920820077765,0.6299045599151644
MCD,2829,0.41675503711558853,0.37681159420289856,0.6295510781194769
