ticker,horizon,alpha,beta,r2,t_beta1,p_beta1,n
AAPL,21,-0.016721283878377374,1.149953306412347,0.33444165897961997,4.634742345640226,3.7563358889423835e-06,2516
AAPL,63,-0.0700324638494004,1.411138554699525,0.4202942020432636,12.438673300653402,1.6348355143917316e-34,2516
AAPL,126,-0.06340936267728736,1.3533396545266336,0.5175942307164005,13.559905917943393,1.7707409241181771e-40,2516
ABBV,21,-0.010660484509012719,1.0703917498386593,0.2558998306681567,1.730295161037067,0.08373081539416193,2015
ABBV,63,-0.030302820834745614,1.1462152469338174,0.19125682928944387,2.7832455988489406,0.005432068803042391,2015
ABBV,126,-0.044677475307027564,1.1926640170646872,0.2793664525795657,4.512677218412086,6.770843099816452e-06,2015
ABT,21,-0.040964144350199655,1.3309690273264458,0.34116764939853117,8.972190883417827,5.549383057091381e-19,2516
ABT,63,-0.022755703507901404,1.2322533196736858,0.2409509580240332,5.324440528787795,1.102322650453346e-07,2516
ABT,126,-0.07190012126323822,1.4992510170189846,0.4156704784639008,14.08227818785333,2.0847502767808282e-43,2516
ADBE,21,-0.011503365861347037,1.1240392249576667,0.4106184736653755,4.6182899568877795,4.064014526394888e-06,2516
ADBE,63,-0.01624046927927511,1.1652952666483563,0.3684206109269802,5.432066230931353,6.105300740044451e-08,2516
ADBE,126,-0.04507722313099552,1.287967212899219,0.5116840822153396,11.475493860795957,9.512300455159121e-30,2516
AEP,21,-0.023947058559039308,1.2312901886142997,0.28036218281484293,5.87871160918553,4.68261751192513e-09,2516
AEP,63,0.021996065994151187,0.9901005616367519,0.12013372177495318,-0.1852413831309801,0.8530546544854847,2516
AEP,126,0.0177365632854993,1.0090901059508302,0.22254708026831216,0.24165486062221847,0.8090673175672651,2516
AMAT,21,-0.009371762306169096,1.1171947686785169,0.38658512123361044,4.175489385232382,3.074687629040597e-05,2516
AMAT,63,-0.03842314009952619,1.2411296112963937,0.39778817055325333,7.917121981113686,3.613711199583971e-15,2516
AMAT,126,-0.019268282274935322,1.134297877697078,0.5239437828783997,6.227846385350188,5.525331784367685e-10,2516
AMD,21,0.021472299583809085,0.9914869247565402,0.26157124051258906,-0.2562257729659297,0.7977974727763267,2516
AMD,63,-0.005099655609088538,1.0366162782703252,0.3202319701151991,1.2156002705243936,0.22425136899914383,2516
AMD,126,0.004497186733759706,1.0124774370456695,0.31170812616591825,0.41582482299297513,0.677573684264777,2516
AMGN,21,-0.03938039293716833,1.230080796396319,0.3743870818098809,7.254992097977381,5.325397197232963e-13,2516
AMGN,63,-0.07127295095365718,1.394651379049179,0.3224474565778861,9.787878927844995,3.149476165207404e-22,2516
AMGN,126,-0.04048711806919561,1.2301545973301342,0.391477923792247,7.524160759476896,7.344114007493429e-14,2516
AMT,21,-0.02393971014216592,1.2026703579052151,0.4668729604217797,7.906973257983515,3.912963775321671e-15,2516
AMT,63,0.016731414001282446,0.9942978965171997,0.258798715709569,-0.16990814074529315,0.8650960497579075,2516
AMT,126,0.0017180218420601856,1.0639403356763608,0.390618170273777,2.412524569957542,0.01591363543668251,2516
AMZN,21,0.0521726617093102,0.8109942936113981,0.426792667233855,-10.083060209890188,1.8218791698981366e-23,2516
