ticker,horizon,bucket,n,rmse,qlike,mean_y_true,mean_y_pred,mean_bias
AAPL,21,bottom_10,252,0.05111653860317777,0.05431499723976094,0.1158321410123027,0.1603992230352161,0.044567082022913415
AAPL,21,middle_80,2012,0.03774658886713328,0.018785150688529095,0.19830569917848853,0.19295588420030113,-0.005349814978187422
AAPL,21,top_10,252,0.16655180036311024,0.1772445903733243,0.37250254071272687,0.24568682929977492,-0.126815711412952
AAPL,63,bottom_10,252,0.04260671503085193,0.03554361405650744,0.1311550383323147,0.1671909934338459,0.036035955101531236
AAPL,63,middle_80,2012,0.035834157606557025,0.014889559266240695,0.20570510924870442,0.20024277439766322,-0.005462334851041177
AAPL,63,top_10,252,0.12347120534855854,0.10647281422433579,0.3490087399810609,0.2336735076908062,-0.11533523229025475
AAPL,126,bottom_10,252,0.03514761044558977,0.021414146932124088,0.142878073228505,0.170035319478957,0.027157246250452006
AAPL,126,middle_80,2012,0.02900817820857793,0.009613751567909973,0.210821554543618,0.20664514396213682,-0.004176410581481186
AAPL,126,top_10,252,0.09080224572382625,0.06436453287956359,0.32447151672440266,0.23696768393053116,-0.0875038327938716
ABBV,21,bottom_10,202,0.05819354874075539,0.04921694654955105,0.13773823639448662,0.18754797832762563,0.04980974193313905
ABBV,21,middle_80,1611,0.03908358273229508,0.016267953075528523,0.205042290295715,0.21226990619352773,0.0072276158978127145
ABBV,21,top_10,202,0.19138759827669405,0.19704098373469964,0.40594806569795355,0.2545506268996458,-0.15139743879830767
ABBV,63,bottom_10,202,0.058627859050623725,0.04679020624919925,0.14822106664422482,0.20121353429475172,0.052992467650526905
ABBV,63,middle_80,1611,0.034470717746309755,0.011638226321885221,0.21320320203634097,0.22178828778853532,0.008585085752194323
ABBV,63,top_10,202,0.16208238683741702,0.14509350771577653,0.38804814744166743,0.24499517715745406,-0.1430529702842135
ABBV,126,bottom_10,202,0.05687003131845476,0.03916639735855807,0.16152195894539473,0.2115752303079312,0.05005327136253649
ABBV,126,middle_80,1611,0.029818074262412946,0.008019678376567335,0.21838731841435916,0.22694751471006097,0.008560196295701813
ABBV,126,top_10,202,0.11817850873572046,0.08483183917420681,0.3655181217436962,0.25437712272951457,-0.11114099901418165
ABT,21,bottom_10,252,0.025199620401809755,0.016830905254417404,0.11913330424091129,0.14187425292861414,0.022740948687702822
ABT,21,middle_80,2012,0.02849952901784968,0.012904427511302715,0.17625249669367496,0.16866935109169282,-0.007583145601982124
ABT,21,top_10,252,0.16253601859880554,0.18843664564109372,0.3224563490341946,0.20780865633655005,-0.11464769269764455
ABT,63,bottom_10,252,0.02161108062052114,0.010811951562637732,0.1289739443663239,0.14755302304606904,0.018579078679745183
ABT,63,middle_80,2012,0.024895044810450465,0.01001939949535611,0.1814471265807124,0.17171249787831647,-0.009734628702395897
ABT,63,top_10,252,0.15261807854905662,0.18852565022003445,0.30986473434941575,0.1976224894113675,-0.11224224493804827
ABT,126,bottom_10,252,0.023053739822573742,0.011457350251905321,0.13547470845717569,0.15432772113330834,0.018853012676132656
ABT,126,middle_80,2012,0.020277771815117977,0.006569892541527056,0.18409308189133303,0.17447901432649807,-0.009614067564834954
ABT,126,top_10,252,0.11941601441936193,0.12076280297017977,0.3069940341015679,0.20691978879550169,-0.1000742453060662
ADBE,21,bottom_10,252,0.043374848271449495,0.0361076933432625,0.1305941688473239,0.16941947100243177,0.03882530215510784
ADBE,21,middle_80,2012,0.04243846523536404,0.01871138754569043,0.2282203040318006,0.22114673085356554,-0.007073573178235056
ADBE,21,top_10,252,0.19213215068837525,0.1680453610835316,0.433043220482286,0.2895976235164435,-0.14344559696584244
ADBE,63,bottom_10,252,0.039808150328868606,0.026521613254148833,0.14518312655082813,0.17857075270816714,0.033387626157339034
ADBE,63,middle_80,2012,0.0373266587979613,0.013253548392543859,0.2360181209862837,0.22440086259544337,-0.011617258390840312
ADBE,63,top_10,252,0.17514351754524965,0.16825457231395854,0.410796447235618,0.263145374692605,-0.14765107254301296
ADBE,126,bottom_10,252,0.03330275871996202,0.015938267998617306,0.1564528362116119,0.18045241876726228,0.023999582555650358
ADBE,126,middle_80,2012,0.03363725834756351,0.009884170818991272,0.24188624965142994,0.2284353472003029,-0.01345090245112706
ADBE,126,top_10,252,0.12951364392559986,0.1025414516050564,0.3892956337206515,0.268307403763138,-0.12098822995751352
AEP,21,bottom_10,252,0.026101017824435576,0.022509346580992563,0.10510590485744094,0.127609398946875,0.022503494089434056
AEP,21,middle_80,2012,0.027268793212707754,0.013199384357178075,0.1703787990401973,0.16503564997288755,-0.0053431490673097526
AEP,21,top_10,252,0.21485845112656285,0.2747966345775442,0.33123036776731773,0.20807426739037135,-0.12315610037694633
AEP,63,bottom_10,252,0.027013653877823743,0.02308915432779041,0.1081359543403184,0.13057235363376346,0.02243639929344504
AEP,63,middle_80,2012,0.02362589231407359,0.010123399654675642,0.17490136696559824,0.16508071086384082,-0.009820656101757402
AEP,63,top_10,252,0.21811942271685156,0.40668013552672216,0.3342705376448227,0.1868217215771893,-0.1474488160676334
AEP,126,bottom_10,252,0.023282237332805277,0.01714981439596933,0.11277436223123535,0.13245947279469786,0.01968511056346252
AEP,126,middle_80,2012,0.020759421778673383,0.0076692040949105835,0.17693824817586978,0.16770443546636152,-0.009233812709508286
AEP,126,top_10,252,0.18503599297628587,0.3280414807199952,0.3415269962001188,0.2032585948895205,-0.13826840131059828
AMAT,21,bottom_10,252,0.03648484299569588,0.016615563040085053,0.17663040991648496,0.2070093944676981,0.030378984551213087
AMAT,21,middle_80,2012,0.044195768845988886,0.013622429324984028,0.2769409073886245,0.26483482952200293,-0.01210607786662155
AMAT,21,top_10,252,0.2101218821816065,0.1422950045750616,0.4858334531046536,0.33442152704382894,-0.15141192606082465
AMAT,63,bottom_10,252,0.02420885702825711,0.006909952061917346,0.18873848742279611,0.2100418535974874,0.021303366174691255
AMAT,63,middle_80,2012,0.041997815842751765,0.011089975779015169,0.2855903844025367,0.26918859552753516,-0.016401788875001443
AMAT,63,top_10,252,0.1838325977318537,0.12221724625288183,0.46559791601852163,0.3142123808621326,-0.15138553515638908
AMAT,126,bottom_10,252,0.020413017777899254,0.004446760411865518,0.20392031018284779,0.21553862423619902,0.011618314053351259
AMAT,126,middle_80,2012,0.03203352022424757,0.006086950030031932,0.2917573920442111,0.28195434160239397,-0.009803050441817085
