ticker,horizon,dm_sq,p_sq,dm_ql,p_ql,model_rmse,naive_rmse,model_qlike,naive_qlike,n
AAPL,21,-5.380003239273448,8.107958216953039e-08,-3.7925096541350096,0.0001525049107123433,0.06729898326887271,0.07578810021249781,0.04316489014934731,0.048025062442557685,2619
AAPL,63,-13.858583611629998,3.545822105951344e-42,-12.417997523954762,1.977582863696075e-34,0.05836581449414647,0.07561342486567238,0.03484487979721244,0.0572230333969104,2577
AAPL,126,-15.986075658184438,7.385013391191087e-55,-15.985441097682695,7.453592072072996e-55,0.04735465864986835,0.060386835030491755,0.02359548983516054,0.03850526894407141,2514
ABBV,21,-3.776259990166947,0.0001635887153033894,-2.8698258439423574,0.004147732363270438,0.07896287071100902,0.08731047423341584,0.045047426751736404,0.04985831765769164,2118
ABBV,63,-10.021447691096329,4.077078627642137e-23,-9.543813085594236,3.71484081413567e-21,0.06961496813654701,0.08938164981182332,0.037489452016691814,0.057625919649600246,2076
ABBV,126,-14.721648662618406,1.1447357551213881e-46,-15.150684219985209,3.486466424738568e-49,0.05616272811898025,0.07871114176880506,0.025236089861271772,0.04815392904344227,2013
ABT,21,-5.179265449230462,2.3969623077938137e-07,-7.065984507650918,2.036396126117971e-12,0.0587030904604927,0.06644310309783946,0.03295916008263566,0.04099503998136567,2619
ABT,63,-10.134574803728617,1.0727613922775413e-23,-9.708885508646853,6.528649482120704e-22,0.05688363982386745,0.07006779268568901,0.03417858353535727,0.05016560337004781,2577
ABT,126,-17.869744485986683,2.5000397989175596e-67,-21.895219118491216,2.0971243291118782e-97,0.04781274233653704,0.06350594521720183,0.02478062837534531,0.04206106221478897,2514
ADBE,21,0.3617090190498877,0.7175986766428915,-3.3539290909352117,0.0008080720868571099,0.09558721751131435,0.08973604820032144,0.04353247779892563,0.04792187222328139,2619
ADBE,63,-12.23102858274801,1.767224697468102e-33,-10.159725651545362,8.373593856760022e-24,0.0708623693035459,0.09214224711764102,0.03814318660250205,0.062428323679318574,2577
ADBE,126,-22.231846354228836,4.111248379655356e-100,-19.559280852240313,2.0608509075932605e-79,0.05730686218380826,0.07998263017508482,0.02590543415252089,0.04820882462891524,2514
