horizon,quintile,n,mean_abs_wedge,rmse,qlike,mean_bias
21,1,49454,0.009098033165445074,0.06197729740322364,0.03456351924729669,-0.007247143344369937
21,2,49454,0.026879573900137194,0.06369814750259244,0.036928179374693455,-0.007919538896373307
21,3,49454,0.04606463515738005,0.07472290879460541,0.03631949929676981,-0.008290438018086786
21,4,49454,0.07194052579657151,1.2726050858036022,0.036481179051242714,-0.0012550239551578802
21,5,49454,0.23129332487843984,0.12406235203839806,0.05791274786390055,-0.029486661165409298
63,1,49454,0.009098033165445074,0.057692169666237275,0.03098404639134506,-0.011222791670162787
63,2,49454,0.026879573900137194,0.06408866020910102,0.035775599605549345,-0.013011415545538058
63,3,49454,0.04606463515738005,0.06954377515135486,0.03834333931832871,-0.013980804388836018
63,4,49454,0.07194052579657151,0.07641297361259292,0.04056173506870148,-0.017863081975376425
63,5,49454,0.23129332487843984,0.10038302355146245,0.05195312121539975,-0.027224569110970976
126,1,49454,0.009098033165445074,0.05870990425003891,0.02877937264337399,-0.014548755900420256
126,2,49454,0.026879573900137194,0.0592504125549724,0.029905330470628707,-0.014665918696269513
126,3,49454,0.04606463515738005,0.30373722137647846,0.031336138190372474,-0.013479527551736044
126,4,49454,0.07194052579657151,1.3151184350239942,0.033117402459480826,-0.004662209480570101
126,5,49454,0.23129332487843984,0.6688274097406111,0.03155345780200069,-0.01721494939253554
