Ticker,Expiry,Days_to_Expiry,Zscore,RMSE,MKTIV,MODELRV,
CVX,2/6/2026,4,-0.485,0.7597,0.5635,0.1947,
CVX,2/13/2026,11,-0.621,0.5539,0.5518,0.208,
CVX,2/20/2026,18,-0.401,0.4807,0.4023,0.2094,
CVX,2/27/2026,25,-0.26,0.4123,0.3584,0.2512,
CVX,3/6/2026,32,-0.185,0.3666,0.3247,0.2569,
CVX,3/13/2026,39,-0.194,0.3253,0.3073,0.2441,
CVX,3/20/2026,46,-0.519,0.3077,0.4038,0.244,
CVX,4/17/2026,74,-0.208,0.3204,0.2813,0.2147,
CVX,5/15/2026,102,-0.418,0.2415,0.3118,0.2108,
CVX,6/18/2026,136,-0.286,0.3228,0.2987,0.2064,
CVX,9/18/2026,228,-0.206,0.219,0.2728,0.2277,
CVX,12/18/2026,319,-0.796,0.0223,0.2721,0.2543,
CVX,1/15/2027,347,-0.679,0.0257,0.27,0.2526,
CVX,6/17/2027,500,-1.338,0.0155,0.2593,0.2385,
CVX,1/21/2028,718,-0.973,0.03,0.253,0.2238,
CVX,12/15/2028,1047,-0.331,0.0516,0.2404,0.2233,
XOM,2/6/2026,4,-0.617,0.5948,0.5784,0.2113,
XOM,2/13/2026,11,-0.545,0.4955,0.5009,0.231,
XOM,2/20/2026,18,-0.295,0.4225,0.3704,0.2456,-0.936333333
XOM,2/27/2026,25,-0.246,0.4099,0.3672,0.2663,-1.567
XOM,3/6/2026,32,-0.378,0.3619,0.3794,0.2427,
XOM,3/13/2026,39,-0.143,0.338,0.3003,0.252,
XOM,3/20/2026,46,-0.457,0.3083,0.3731,0.2321,
XOM,4/17/2026,74,-0.81,0.1805,0.3568,0.2106,
XOM,5/15/2026,102,-0.405,0.2584,0.3178,0.2131,
XOM,6/18/2026,136,-0.208,0.3123,0.2746,0.2095,
XOM,7/17/2026,165,-0.282,0.2675,0.2865,0.211,
XOM,9/18/2026,228,-0.418,0.1919,0.2959,0.2157,
XOM,12/18/2026,319,-1.16,0.0338,0.2818,0.2426,
XOM,1/15/2027,347,-2.147,0.022,0.2887,0.2415,
XOM,6/17/2027,500,-3.828,0.0163,0.2916,0.229,
XOM,12/17/2027,683,-2.049,0.0248,0.2706,0.2198,
XOM,1/21/2028,718,-2.058,0.0258,0.2711,0.218,
XOM,12/15/2028,1047,-0.808,0.0629,0.2755,0.2246,
NNE,2/6/2026,4,-1.022,0.7677,1.6094,0.8249,
NNE,2/13/2026,11,-0.131,0.6098,1.0728,0.9931,
NNE,2/20/2026,18,-0.234,0.525,1.002,0.8794,
NNE,2/27/2026,25,0.192,0.5729,0.9434,1.0536,
NNE,3/6/2026,32,-0.111,0.6842,0.9614,0.8858,
NNE,3/13/2026,39,-0.004,0.705,0.9077,0.905,
NNE,3/20/2026,46,0.085,1.0859,0.9438,1.0362,
NNE,4/17/2026,74,-0.34,0.3124,0.9409,0.8346,
NNE,7/17/2026,165,0.422,0.9476,0.8584,1.2585,
NNE,1/15/2027,347,0.39,0.8042,0.8391,1.1525,
NNE,1/21/2028,718,10.149,0.0603,0.7933,1.4049,
INTC,2/6/2026,4,0.619,1.1494,0.8086,1.5205,
INTC,2/13/2026,11,0.563,0.9687,0.6939,1.2393,
INTC,2/20/2026,18,0.504,0.8134,0.6631,1.073,
INTC,2/27/2026,25,0.462,0.7429,0.6372,0.9806,
INTC,3/6/2026,32,0.411,0.6104,0.6357,0.8865,
INTC,3/13/2026,39,0.478,0.5406,0.604,0.8625,
INTC,3/20/2026,46,0.146,0.4353,0.7002,0.7636,
INTC,4/17/2026,74,0.176,0.3162,0.6699,0.7255,
INTC,5/15/2026,102,0.098,0.2059,0.647,0.6672,
INTC,6/18/2026,136,0.5,0.1986,0.6459,0.7453,
INTC,7/17/2026,165,0.906,0.0936,0.6024,0.6872,
INTC,8/21/2026,200,0.479,0.116,0.5946,0.6502,
INTC,9/18/2026,228,0.33,0.112,0.613,0.65,
INTC,11/20/2026,291,0.172,0.075,0.5985,0.6114,
INTC,12/18/2026,319,0.863,0.0574,0.6046,0.6541,
INTC,1/15/2027,347,0.705,0.0724,0.6176,0.6686,
INTC,3/19/2027,410,0.719,0.0826,0.5858,0.6452,
INTC,12/17/2027,683,0.236,0.0725,0.6041,0.6213,
INTC,1/21/2028,718,0.198,0.1054,0.5915,0.6124,
