ticker,sector,horizon,alpha,beta,r2,rmse,mae,qlike,hit_rate,n_obs,flag
AMT,REIT,126,-0.00689,1.1098,0.375,0.052768,0.026375,0.00131,0.5021,2676,
AMZN,Consumer Disc,21,0.09138,0.6382,0.3362,0.079528,0.049773,0.003345,0.4531,2749,
AMZN,Consumer Disc,63,0.19418,0.2042,0.1248,0.127483,0.048644,0.015494,0.4683,2749,
AMZN,Consumer Disc,126,-0.01821,1.1283,0.4928,0.047612,0.035868,0.00111,0.476,2749,
APD,Materials,21,-0.01346,1.1502,0.2959,0.066205,0.031349,0.001928,0.5088,2676,
APD,Materials,63,-0.0183,1.2045,0.235,0.06101,0.030373,0.001706,0.5039,2676,
APD,Materials,126,-0.04855,1.3699,0.3828,0.049615,0.02539,0.001162,0.5118,2676,
AVGO,Tech,21,0.01156,0.991,0.1697,0.090446,0.05189,0.003564,0.492,2676,
AVGO,Tech,63,-0.04102,1.214,0.2331,0.073855,0.042468,0.00249,0.5032,2676,
AVGO,Tech,126,-0.01095,1.1,0.2407,0.061489,0.033853,0.001773,0.508,2676,
AXP,Financials,21,-0.02563,1.2315,0.3296,0.085617,0.038277,0.003069,0.483,2676,
AXP,Financials,63,-0.00563,1.1666,0.2564,0.083274,0.038394,0.003068,0.4766,2676,
AXP,Financials,126,-0.05105,1.3957,0.4639,0.067275,0.031575,0.002082,0.5133,2676,
BA,Industrials,21,0.0618,0.8343,0.4509,0.118906,0.054041,0.00593,0.4924,2749,
BA,Industrials,63,0.02386,1.0068,0.4236,0.111186,0.052297,0.005393,0.4916,2749,
BA,Industrials,126,0.02356,1.0082,0.4499,0.100663,0.049448,0.004491,0.5015,2749,
BAC,Financials,21,-0.01635,1.1265,0.3609,0.067643,0.037149,0.002065,0.4811,2676,
BAC,Financials,63,-0.00935,1.109,0.3385,0.05942,0.031415,0.001629,0.5017,2676,
BAC,Financials,126,-0.01335,1.1176,0.4287,0.047569,0.025715,0.001074,0.5103,2676,
BLK,Financials,21,-0.03952,1.2387,0.3476,0.068914,0.03631,0.002116,0.5009,2676,
BLK,Financials,63,-0.01858,1.1486,0.2186,0.065873,0.035877,0.001995,0.4856,2676,
BLK,Financials,126,-0.01177,1.1059,0.3203,0.05351,0.032807,0.001365,0.5148,2676,
BMY,Health Care,21,0.0422,0.816,0.2161,0.054795,0.033024,0.001419,0.4718,2676,
BMY,Health Care,63,-0.00068,1.0517,0.2096,0.043941,0.027478,0.000928,0.4826,2676,
BMY,Health Care,126,-0.03595,1.2007,0.4349,0.030747,0.022586,0.000467,0.5036,2676,
C,Financials,21,0.00262,1.054,0.3606,0.081559,0.041221,0.002893,0.496,2749,
C,Financials,63,-0.03333,1.2288,0.3939,0.071146,0.036535,0.002306,0.504,2749,
C,Financials,126,-0.0583,1.3164,0.5836,0.05312,0.029069,0.001331,0.4971,2749,
CAT,Industrials,21,0.01689,0.9718,0.4155,0.06265,0.035352,0.001793,0.4684,2676,
CAT,Industrials,63,0.00936,1.0353,0.3182,0.059563,0.034572,0.001661,0.4729,2676,
CAT,Industrials,126,0.00982,1.0426,0.3627,0.050411,0.029075,0.001209,0.4882,2676,
CCI,REIT,21,0.01255,0.9831,0.2779,0.064459,0.03353,0.001867,0.477,2676,
CCI,REIT,63,-0.00149,1.0767,0.237,0.058423,0.028331,0.001563,0.4893,2676,
CCI,REIT,126,-0.0157,1.1534,0.3727,0.048007,0.023629,0.001089,0.5032,2676,
CL,Staples,21,0.04961,0.7245,0.0923,0.065892,0.028917,0.001948,0.5062,2676,
CL,Staples,63,-0.00261,1.1012,0.1301,0.054686,0.026526,0.001402,0.4837,2676,
CL,Staples,126,-0.0614,1.4779,0.3703,0.041027,0.022628,0.000811,0.508,2676,
CMCSA,Comm,21,-0.00282,1.061,0.2731,0.063602,0.033645,0.00182,0.4964,2676,
CMCSA,Comm,63,-0.0313,1.2306,0.2939,0.054687,0.029482,0.001391,0.5043,2676,
