security_id,date,rv,iv_atm_30d,iv_atm_60d,iv_atm_91d,iv_atm_182d,vrp_wedge,vrp_wedge_ewma_21d,pfv_21,pfv_63,pfv_126,pfv_q15_21,pfv_q15_63,pfv_q15_126,pfv_cal_21,pfv_cal_63,pfv_cal_126,model_run_id
1,2024-06-04,0.2516605032985243,0.3155866015795936,,,,0.0639260982810693,0.03838076837325486,0.1775860971520936,0.1829408721429318,0.1995346355846725,0.1491104811429977,0.1587632000446319,0.1860963106155395,0.178503196588383,0.1893367338075363,0.1990387861686811,1
1,2024-06-05,0.2552713298373819,0.3244602759912907,,,,0.0691889461539088,0.04118151180785977,0.1703116849570487,0.1825876348613403,0.1981714164127043,0.1454090029001236,0.1605764329433441,0.1883222460746765,0.1699014309364597,0.189093783074752,0.1977221155431232,1
1,2024-06-06,0.2559215696683989,0.3284245612190927,,,,0.0725029915506938,0.044028919057208314,0.1694558498453114,0.1795960239263945,0.1979633659321118,0.1463896483182907,0.1606449037790298,0.1877882331609726,0.168889432596186,0.1870362027831812,0.1975211691640946,1
1,2024-06-07,0.255625698478038,0.3238119452735,,,,0.068186246795462,0.04622503976068592,0.1669343940578687,0.1794514263579059,0.1985833096449451,0.1418876647949218,0.1612515300512313,0.1870234012603759,0.1659078897300777,0.1869367509782504,0.198119944249548,1
1,2024-06-10,0.2581001959612207,0.30824987374309837,,,,0.0501496777818777,0.04658182503533971,0.1566553073496135,0.1824888479125672,0.1977080956551269,0.1457792222499847,0.1607500910758972,0.1861687153577804,0.1537531901324333,0.1890258390528587,0.1972746153580777,1
1,2024-06-11,0.2486650641517955,0.2967983333856863,,,,0.0481332692338908,0.04672286541702617,0.1765488704751533,0.1862516880536696,0.2043889258829071,0.1474927812814712,0.1577149331569671,0.1895311176776886,0.1772767083768625,0.1916138579774532,0.2037273216404853,1
1,2024-06-12,0.2084524312520531,0.2226209898929589,,,,0.0141685586409058,0.04376338298283341,0.2079742418328371,0.2030721340663637,0.1882329257375564,0.1648232787847519,0.1719357371330261,0.1866329610347747,0.2006420991899689,0.2006420991899689,0.1959474313842075,1
1,2024-06-13,0.2042109938612634,0.2134384614536327,,,,0.0092274675923693,0.04062375431097303,0.2277294439691627,0.213278131856143,0.188203058125164,0.1865777969360351,0.1770904511213302,0.1869813650846481,0.20930734516201,0.20930734516201,0.2013523922099263,1
1,2024-06-14,0.2062589497871835,0.19580932168590962,,,,-0.0104496281012739,0.035980719546223304,0.2130792070331371,0.2103365642286749,0.1885075458723545,0.1825450211763382,0.1682167947292328,0.1820240169763565,0.2042015210484195,0.2042015210484195,0.1982715361492399,1
1,2024-06-17,0.2076347140132303,0.2029298519299239,,,,-0.0047048620833064,0.03228203030717515,0.2218680653967672,0.2111802738375814,0.1881681356783019,0.1878338754177093,0.1730064004659652,0.1825148910284042,0.2069668298183446,0.2069668298183446,0.1998769213763838,1
1,2024-06-18,0.2038613236021206,0.19837116492692777,,,,-0.0054901586751928,0.0288481949451417,0.2240316283310384,0.2090100192646429,0.1872431884381702,0.1912743002176284,0.1713494211435318,0.1820967495441436,0.206726971929524,0.206726971929524,0.1993919987154223,1
1,2024-06-20,0.2031731702384031,0.19148869562174609,,,,-0.011684474616657,0.02516340680316,0.2190615637217878,0.2098701894639751,0.1876119536502477,0.1919218003749847,0.1746872812509536,0.1848896592855453,0.2055778745715098,0.2055778745715098,0.1988073778682936,1
1,2024-06-21,0.2028916314598653,0.1864863312787546,,,,-0.0164053001811107,0.02138443344095357,0.2144847814333702,0.2087743125006074,0.1873732048116317,0.1864221692085266,0.1738674789667129,0.1860470920801162,0.203819982047411,0.203819982047411,0.1976222213496824,1
1,2024-06-24,0.2012329208056458,0.17437340603696372,,,,-0.0268595147686821,0.016998619967350324,0.2174746381817054,0.2092455028519192,0.1890097910615865,0.1889355480670929,0.1825898140668869,0.1882817447185516,0.2054185463367622,0.2054185463367622,0.1992140877674091,1
