security_id,date,open,high,low,close,adj_close,volume
1,2026-04-07,256.16,256.2,245.7,253.5,253.5,62148000
1,2026-04-08,258.45,259.75,256.53,258.9,258.9,41032800
1,2026-04-09,259.0,261.12,256.07,260.49,260.49,28121600
1,2026-04-10,259.98,262.19,259.02,260.48,260.48,31291500
1,2026-04-13,259.73,260.18,256.66,259.2,259.2,36234700
1,2026-04-14,259.25,261.93,257.19,258.83,258.83,48370700
1,2026-04-15,258.16,266.56,257.81,266.43,266.43,49913500
1,2026-04-16,266.8,267.16,261.27,263.4,263.4,43323100
1,2026-04-17,266.96,272.3,266.72,270.23,270.23,61436200
1,2026-04-20,270.33,274.28,270.29,273.05,273.05,36590200
1,2026-04-21,271.5,272.8,265.4,266.17,266.17,50209800
1,2026-04-22,267.82,273.74,266.87,273.17,273.17,43249200
1,2026-04-23,275.05,275.77,271.65,273.43,273.43,33399600
1,2026-04-24,272.76,273.06,269.65,271.06,271.06,38157100
1,2026-04-27,266.09,268.36,265.07,267.61,267.61,41466800
1,2026-04-28,272.34,273.23,268.66,270.71,270.71,40018900
1,2026-04-29,267.55,271.04,267.04,270.17,270.17,30047900
1,2026-04-30,270.5,276.0,268.14,271.35,271.35,91848200
1,2026-05-01,278.86,287.22,278.37,280.14,280.14,79915400
1,2026-05-04,279.66,280.63,274.86,276.83,276.83,46668400
1,2026-05-05,276.93,284.57,276.5,284.18,284.18,49311700
1,2026-05-06,281.92,288.03,281.07,287.51,287.51,58259700
50,2026-04-07,293.14,298.18,292.7,297.4,297.4,7849100
50,2026-04-08,307.97,311.26,305.33,307.97,307.97,10590200
50,2026-04-09,306.95,311.26,306.11,310.33,310.33,6586600
50,2026-04-10,310.0,310.35,306.72,309.87,309.87,6069700
50,2026-04-13,307.47,313.74,305.46,313.68,313.68,8318200
50,2026-04-14,309.82,314.32,308.87,311.12,311.12,11455500
50,2026-04-15,313.95,314.24,304.26,305.93,305.93,9885800
50,2026-04-16,305.35,309.95,305.2,309.95,309.95,8208600
50,2026-04-17,312.47,314.9,310.09,310.29,310.29,11082400
50,2026-04-20,310.85,317.13,310.37,316.99,316.99,10772000
50,2026-04-21,317.49,320.24,312.75,313.0,313.0,7084300
50,2026-04-22,314.85,315.15,311.94,313.02,313.02,5545900
50,2026-04-23,313.52,314.99,308.89,311.69,311.69,6969700
50,2026-04-24,311.15,311.15,307.89,308.28,308.28,5215300
50,2026-04-27,306.88,312.58,306.88,311.63,311.63,7925300
50,2026-04-28,315.2,315.45,311.17,311.45,311.45,7398600
50,2026-04-29,310.57,312.05,307.29,309.25,309.25,8031800
50,2026-04-30,307.07,314.1,306.57,313.23,313.23,8865400
50,2026-05-01,313.95,316.08,311.83,312.47,312.47,6135400
50,2026-05-04,310.62,310.65,306.51,307.65,307.65,7338200
50,2026-05-05,307.71,310.97,306.8,309.4,309.4,6316800
50,2026-05-06,311.45,316.26,311.35,314.9,314.9,8604700
91,2026-04-07,164.22,166.24,161.77,163.91,163.91,25227500
91,2026-04-08,153.52,156.35,150.98,156.22,156.22,31311200
91,2026-04-09,156.86,159.23,154.31,155.04,155.04,25868400
91,2026-04-10,154.04,155.12,151.92,152.51,152.51,21065000
91,2026-04-13,154.27,154.62,151.28,152.64,152.64,18685600
91,2026-04-14,150.07,150.11,146.72,149.24,149.24,18528200
91,2026-04-15,148.6,150.23,146.9,149.01,149.01,15626500
91,2026-04-16,149.53,152.78,149.35,151.98,151.98,15191000
91,2026-04-17,144.86,146.8,141.97,146.44,146.44,28947400
91,2026-04-20,147.38,149.37,146.35,147.68,147.68,16354400
91,2026-04-21,147.37,148.81,146.24,148.36,148.36,17515900
91,2026-04-22,149.37,150.68,148.18,149.5,149.5,13738700
91,2026-04-23,149.85,151.23,148.5,150.53,150.53,12970400
91,2026-04-24,149.64,150.3,146.95,148.91,148.91,13735900
91,2026-04-27,149.16,151.18,147.97,148.19,148.19,13940800
91,2026-04-28,151.53,152.31,149.83,150.56,150.56,15173600
91,2026-04-29,152.02,154.95,151.01,154.67,154.67,14669100
91,2026-04-30,152.43,155.69,151.34,154.33,154.33,22885900
91,2026-05-01,152.61,155.01,151.13,152.75,152.75,15458200
91,2026-05-04,152.67,154.47,149.52,153.69,153.69,14238500
91,2026-05-05,153.1,155.29,152.41,154.88,154.88,12494600
91,2026-05-06,149.07,150.33,147.09,148.69,148.69,20514500
84,2026-04-07,346.44,348.02,337.24,346.65,346.65,74515400
84,2026-04-08,363.79,364.5,339.67,343.25,343.25,78838600
84,2026-04-09,343.15,348.88,337.25,345.62,345.62,62164000
84,2026-04-10,346.29,350.36,342.74,348.95,348.95,51336000
84,2026-04-13,350.07,356.35,348.57,352.42,352.42,53617500
84,2026-04-14,357.67,367.63,354.77,364.2,364.2,59979600
84,2026-04-15,366.83,394.65,362.5,391.95,391.95,113810400
84,2026-04-16,393.81,394.06,381.8,388.9,388.9,63515100
84,2026-04-17,395.92,409.28,391.65,400.62,400.62,90640000
84,2026-04-20,402.58,406.8,388.33,392.5,392.5,64603900
84,2026-04-21,393.0,393.95,385.22,386.42,386.42,50530600
84,2026-04-22,387.57,393.01,385.3,387.51,387.51,62362800
84,2026-04-23,375.28,386.0,368.39,373.72,373.72,93969500
84,2026-04-24,373.5,382.76,370.73,376.3,376.3,62893300
84,2026-04-27,372.09,380.78,364.02,378.67,378.67,66735800
84,2026-04-28,374.68,382.29,372.54,376.02,376.02,50864400
84,2026-04-29,375.4,376.4,370.04,372.8,372.8,45384800
84,2026-04-30,372.75,384.75,368.17,381.63,381.63,51076000
84,2026-05-01,382.49,397.82,378.8,390.82,390.82,65338300
84,2026-05-04,390.23,394.64,384.8,392.51,392.51,48765100
84,2026-05-05,395.19,402.12,389.0,389.37,389.37,47780600
84,2026-05-06,386.25,401.68,384.02,398.73,398.73,53304000
