ticker,horizon,rmse,mz_alpha,mz_beta,mz_r2,qlike,event_capture_rate,n_predictions
AAPL,21,0.06830005768699902,-0.02043869220167091,1.203742800315244,0.36116680731729744,0.03683912660590825,0.8,2055
AAPL,63,0.058404538385266845,-0.08812702373216727,1.5440924730189336,0.39965157368016213,0.02916331951377791,0.6527777777777778,2055
AAPL,126,0.04425186418298595,-0.04584669258111204,1.3115702614510147,0.4717038408670251,0.017794515466032907,0.7704918032786885,2055
XOM,21,0.07336695060574847,0.035675287688985424,0.8770403545760369,0.5552580262405395,0.03809335395043534,0.6976744186046512,2055
XOM,63,0.08229346021361324,0.03477071164697157,0.9322898864910637,0.32511411207815744,0.049082525970587654,0.4533333333333333,2055
XOM,126,0.07033154073573217,0.04095932920506587,0.9057412307730095,0.37007056072835465,0.03954212124555727,0.5416666666666666,2055
JPM,21,0.0822459845230123,0.005379036834419065,1.056992513282564,0.204117013803095,0.04679394219025816,0.6206896551724138,2055
JPM,63,0.06340660182035088,-0.11819060559542738,1.7190547553573607,0.4893984063526552,0.028263296118525197,0.8169014084507042,2055
JPM,126,0.058588546580547504,-0.1214457876292456,1.7361180022165206,0.39290929268769614,0.02635388056023531,0.5158730158730159,2055
JNJ,21,0.054057600144573316,0.006034488273737232,1.033004299912861,0.17036950198061906,0.03800671393018095,0.42391304347826086,2055
JNJ,63,0.044918139843225444,0.02393200319062283,0.9270741008136688,0.16743296720066791,0.028801738799668856,0.6857142857142857,2055
JNJ,126,0.034663149982848446,-0.02204395594472569,1.2170573545457064,0.2673611556850519,0.018401450059086787,0.7777777777777778,2055
NVDA,21,0.09897564257420083,0.0622159383237767,0.8627429575742775,0.374550113025208,0.031183487509092396,0.8395061728395061,2055
NVDA,63,0.08949826649382074,0.07720344343630364,0.8567056128413004,0.27545207708522135,0.027527468237370904,0.2857142857142857,2055
NVDA,126,0.06263961302450888,0.03316137242950734,0.9556534738652155,0.3857260056652131,0.013309792373866853,0.8983050847457628,2055
