Ticker,Expiry,Days_to_Expiry,Zscore,RMSE,MKTIV,MODELRV
XOM,2026-02-06,3,-0.745,0.618,0.6877,0.2271
XOM,2026-02-13,10,-0.466,0.4957,0.4601,0.2291
XOM,2026-02-20,17,-0.381,0.4652,0.4277,0.2507
XOM,2026-02-27,24,-0.287,0.4034,0.4016,0.2861
XOM,2026-03-06,31,-0.231,0.3571,0.3492,0.2667
XOM,2026-03-13,38,-0.245,0.3559,0.3309,0.2438
XOM,2026-03-20,45,-0.581,0.2875,0.3976,0.2305
XOM,2026-04-17,73,-0.724,0.1885,0.3507,0.2142
XOM,2026-05-15,101,-0.505,0.2598,0.3464,0.2151
XOM,2026-06-18,135,-0.34,0.3036,0.3136,0.2103
XOM,2026-07-17,164,-0.304,0.2659,0.2883,0.2075
XOM,2026-09-18,227,-0.466,0.2007,0.3031,0.2096
XOM,2026-12-18,318,-1.516,0.0323,0.2914,0.2425
XOM,2027-01-15,346,-1.477,0.0296,0.2859,0.2421
XOM,2027-06-17,499,-3.186,0.0187,0.2896,0.2301
XOM,2027-12-17,682,-2.166,0.0252,0.2748,0.2203
XOM,2028-01-21,717,-2.556,0.0236,0.2783,0.218
XOM,2028-12-15,1046,-0.919,0.0601,0.2782,0.223
