Ticker,Expiry,Days_to_Expiry,Zscore,RMSE,MKTIV,MODELRV
XOM,2026-02-06,3,-0.404,0.6327,0.4862,0.2309
XOM,2026-02-13,10,-0.317,0.507,0.3901,0.2293
XOM,2026-02-20,17,-0.161,0.4659,0.3284,0.2535
XOM,2026-02-27,24,-0.145,0.4015,0.3457,0.2876
XOM,2026-03-06,31,-0.162,0.366,0.3261,0.2668
XOM,2026-03-13,38,-0.166,0.3497,0.2986,0.2405
XOM,2026-03-20,45,-0.416,0.2955,0.356,0.233
XOM,2026-04-17,73,-0.685,0.1811,0.3366,0.2126
XOM,2026-05-15,101,-0.43,0.2521,0.3222,0.2139
XOM,2026-06-18,135,-0.293,0.3027,0.299,0.2103
XOM,2026-07-17,164,-0.253,0.2724,0.2763,0.2073
XOM,2026-09-18,227,-0.388,0.201,0.2882,0.2102
XOM,2026-12-18,318,-1.754,0.0229,0.2806,0.2404
XOM,2027-01-15,346,-1.264,0.0304,0.2805,0.2421
XOM,2027-06-17,499,-3.165,0.0175,0.2855,0.2299
XOM,2027-12-17,682,-2.014,0.0239,0.2683,0.2203
XOM,2028-01-21,717,-2.494,0.023,0.2757,0.2182
XOM,2028-12-15,1046,-0.725,0.0639,0.2698,0.2235
