ticker,sector,horizon,target,pearson_r,pearson_p,spearman_r,n
AAPL,Tech,5d,fwd_ret,0.019191477428527757,0.32473952174666537,0.04961191513455382,2635
AAPL,Tech,5d,fwd_rv,0.1744606796288583,1.8728446722562698e-19,0.08936914663779628,2635
AAPL,Tech,21d,fwd_ret,0.00801633396321507,0.6817648810448054,0.024516633193647715,2619
AAPL,Tech,21d,fwd_rv,0.2244469982907349,2.9168562224690948e-31,0.1159429124557192,2619
AAPL,Tech,63d,fwd_ret,-0.0770433415353511,9.041814197538643e-05,-0.08493503686436552,2577
AAPL,Tech,63d,fwd_rv,0.010913355738001413,0.5797464976958608,0.034647742626385036,2577
JPM,Fin,5d,fwd_ret,0.056495070056337034,0.0021508064956874107,0.08151427840631426,2948
JPM,Fin,5d,fwd_rv,0.1657443460720453,1.327787140580748e-19,0.2388997552714299,2948
JPM,Fin,21d,fwd_ret,0.10517733019912814,1.1394476652899523e-08,0.10562923480689682,2932
JPM,Fin,21d,fwd_rv,0.12025551463715677,6.466746843918477e-11,0.20514763211790263,2932
JPM,Fin,63d,fwd_ret,0.09713610535141856,1.6765876187295037e-07,0.08307056755894315,2890
JPM,Fin,63d,fwd_rv,0.07704579816998268,3.379564834134668e-05,0.20159411316885253,2890
XOM,Energy,5d,fwd_ret,0.006137891007305575,0.7390425035073472,0.015066155918925812,2948
XOM,Energy,5d,fwd_rv,0.2834163989075118,1.4019584825784099e-55,0.34049426907652736,2948
XOM,Energy,21d,fwd_ret,0.0830701170069885,6.6703767899728945e-06,0.058428364426195055,2932
XOM,Energy,21d,fwd_rv,0.28057201201613163,3.5646261202853177e-54,0.3770010724026083,2932
XOM,Energy,63d,fwd_ret,0.2154829049742886,1.0432465188374402e-31,0.1952557611037445,2890
XOM,Energy,63d,fwd_rv,0.31689956038979383,1.9910789691089186e-68,0.4571968335046023,2890
TSLA,CD,5d,fwd_ret,0.016356532921230273,0.37466519251204666,0.013060050003514153,2948
TSLA,CD,5d,fwd_rv,0.18438449288683278,5.8930772551914856e-24,0.13616977687903425,2948
TSLA,CD,21d,fwd_ret,0.07838538373626502,2.1459613841399554e-05,0.04582558122720589,2932
TSLA,CD,21d,fwd_rv,0.20052183122088127,5.645002105335755e-28,0.0939690408038695,2932
TSLA,CD,63d,fwd_ret,0.09058213323373401,1.0743754982138111e-06,0.11386573233915835,2890
TSLA,CD,63d,fwd_rv,0.11070613598947714,2.413667224636677e-09,0.10157835511776046,2890
NVDA,Tech,5d,fwd_ret,0.08607382089277905,2.866992659894235e-06,0.07820725587734623,2948
NVDA,Tech,5d,fwd_rv,0.026176887309645236,0.15533781666617738,0.061419873816717666,2948
NVDA,Tech,21d,fwd_ret,0.101459015386707,3.677741315223307e-08,0.124019339009432,2932
NVDA,Tech,21d,fwd_rv,0.024195226629923072,0.19027877064827592,0.06152436130175912,2932
NVDA,Tech,63d,fwd_ret,0.12718359031772464,6.78308195357411e-12,0.15912999166923875,2890
NVDA,Tech,63d,fwd_rv,0.07388786638814479,7.013303326443025e-05,0.1209263916957533,2890
AMZN,CD,5d,fwd_ret,0.012363986261441178,0.5258234956979908,0.020507226385561267,2635
AMZN,CD,5d,fwd_rv,-0.04496285702825761,0.020992640435918402,-0.023336598001804085,2635
AMZN,CD,21d,fwd_ret,0.034645089128179804,0.07628032589142807,0.03480279215191422,2619
AMZN,CD,21d,fwd_rv,-0.1137138478438077,5.359807413775146e-09,-0.1045162166304288,2619
AMZN,CD,63d,fwd_ret,0.014293493432403222,0.46827891913342506,-0.030040470352710735,2577
AMZN,CD,63d,fwd_rv,-0.043096763875982644,0.028689565439670536,-0.016293906349489757,2577
