step,date,w_XGB,w_RF,w_LassoCV,cv_rmse_XGB,cv_rmse_RF,cv_rmse_LassoCV
0,2013-04-25,0.5171903701779218,0.390869555447433,0.0919400743746452,0.054487351839295824,0.07209651730363525,2.4848589728598833
1,2013-05-31,0.49913781287360964,0.4011103781295703,0.09975180899681997,0.05262838836752177,0.06549024931073248,0.2700611283072733
2,2013-07-08,0.4737733360531028,0.4141157071469793,0.1121109567999179,0.05372878177983626,0.06146896566970237,0.22705420515973007
3,2013-08-12,0.3712524799137249,0.34383969753129445,0.28490782255498076,0.05204859465716513,0.056198193464086894,0.06782253175504815
4,2013-09-17,0.3916193321594038,0.33932836284482326,0.26905230499577293,0.05489014942298314,0.06334879725037544,0.0798954079189036
5,2013-10-22,0.41844461666383737,0.35620324821226024,0.22535213512390243,0.05444736332781654,0.06396125299365164,0.10110046689168611
6,2013-11-26,0.42982642092342194,0.3636309175001693,0.20654266157640888,0.05921582842776752,0.06999549920039703,0.12323133342458054
7,2014-01-03,0.39987369485570795,0.33662008290366846,0.26350622224062353,0.054752883814168755,0.06504138958649856,0.08308812508717152
8,2014-02-10,0.3881258811067167,0.33499394630780643,0.27688017258547687,0.052332414330422496,0.06063263126484645,0.07335868160139393
9,2014-03-18,0.35744870519895394,0.34845781723476865,0.2940934775662773,0.05218607392975938,0.0535325759187707,0.06342828378914157
10,2014-04-23,0.3274535740444703,0.38954741934215054,0.2829990066133793,0.04711323009633598,0.03960338283302655,0.054513956654628624
11,2014-05-29,0.3008701391176817,0.38411640018720894,0.31501346069510927,0.04809187621327395,0.0376693353360232,0.045932670479508504
12,2014-07-03,0.3184756248740085,0.34306989643991687,0.33845447868607476,0.046301038558772524,0.04298177234534222,0.04356790385686609
13,2014-08-08,0.3260466796157736,0.29226805639816905,0.3816852639860574,0.04476011363007811,0.0499332243426214,0.03823539393662523
14,2014-09-15,0.322960128130374,0.3148504298389746,0.36218944203065134,0.04442744302475046,0.045571774188513936,0.039615436085969714
15,2014-10-20,0.3197128568569076,0.29719803526481997,0.38308910787827244,0.041736063378799114,0.04489786093271771,0.034831468142489636
16,2014-11-24,0.32066784392594605,0.3001244943641114,0.3792076617099424,0.04262618594337889,0.04554392393133602,0.03604580951664721
17,2014-12-31,0.3290243798665097,0.2968938865737992,0.3740817335596911,0.04016656247644811,0.044513474031731864,0.035328584971054074
18,2015-02-06,0.3295335156541028,0.29151705409097095,0.37894943025492617,0.039902599376488386,0.045106259382574815,0.03469920471294994
19,2015-03-16,0.38603691425050807,0.31355631886651275,0.3004067668829792,0.03884331621843228,0.04782220299825616,0.04991549986642432
20,2015-04-21,0.37824516821955856,0.3308841016124565,0.2908707301679849,0.0423461754282772,0.0484073915013409,0.0550665109516977
21,2015-05-27,0.38707599536206916,0.32395339228097275,0.28897061235695815,0.043907278054894326,0.05246264975671803,0.05881377769910837
22,2015-07-01,0.32847283551464,0.27713561494361394,0.39439154954174604,0.03675546633809331,0.04356413105256363,0.030612147402155416
23,2015-08-06,0.35339515608088085,0.28294862870910054,0.3636562152100186,0.03643650167040401,0.04550820144844036,0.03540839577681157
24,2015-09-11,0.3620838210164739,0.30041186681452087,0.3375043121690053,0.03770430900050554,0.04544467705770729,0.040450209906807276
25,2015-10-16,0.3524331850679723,0.3004538931303827,0.34711292180164505,0.03704557952730828,0.04345455953147661,0.03761338390323287
26,2015-11-20,0.34537041908853605,0.30477763825573256,0.34985194265573144,0.03800335275861506,0.04306495038195435,0.03751653848018823
27,2015-12-29,0.3453027656985279,0.299123433480519,0.35557380082095313,0.03894047974630139,0.04495219648146053,0.0378156526802045
28,2016-02-04,0.33449927702949334,0.3108733821419772,0.3546273408285296,0.04162353363245114,0.04478685763166753,0.03926105041686511
29,2016-03-11,0.3230810487444558,0.319952511988663,0.3569664392668812,0.044253520505859935,0.044686237113131695,0.04005271152389256
30,2016-04-18,0.3253509834114243,0.3187286213412866,0.3559203952472891,0.043446777948727866,0.04434949039779051,0.0397152063226252
31,2016-05-23,0.3354716061002159,0.3137071409202684,0.3508212529795157,0.04063772865511365,0.04345710480228005,0.03885968704692972
32,2016-06-28,0.3369945070226273,0.31590972349427715,0.34709576948309556,0.03930225784394989,0.04192541103356704,0.03815847432171923
