step,date,w_XGB,w_RF,w_LassoCV,cv_rmse_XGB,cv_rmse_RF,cv_rmse_LassoCV
0,2013-04-25,0.34222156032567497,0.3027794651686047,0.35499897450572027,0.06370872624679318,0.07200785459607698,0.0614156695322722
1,2013-05-31,0.34733119737446955,0.31573116371175464,0.33693763891377587,0.05997553195933001,0.06597819829917952,0.06182560486789579
2,2013-07-08,0.3305339284968314,0.3170448865983991,0.3524211849047695,0.05476698103750461,0.057097105676295355,0.05136565612288447
3,2013-08-12,0.35147471257329516,0.3299700374576922,0.31855524996901274,0.054137784274821986,0.057666030267332496,0.05973237662602974
4,2013-09-17,0.3667966898629473,0.32706227823995354,0.30614103189709924,0.051005909533931436,0.05720255751037434,0.06111169961295301
5,2013-10-22,0.3590799410243744,0.32106455244186305,0.3198555065337626,0.05445542316378793,0.06090317348767752,0.06113338597797846
6,2013-11-26,0.3634107771415988,0.32026002158912237,0.3163292012692789,0.058842149171980385,0.06677034196514767,0.06760005422663463
7,2014-01-03,0.35651225354522664,0.33613555334077816,0.30735219311399525,0.0660456249127145,0.07004934271431658,0.07660942430855373
8,2014-02-10,0.43655286100617974,0.38755722151464467,0.17588991747917557,0.06777963097126212,0.07634844656695282,0.16822676502734032
9,2014-03-18,0.3411624273115432,0.3054315605608752,0.3534060121275816,0.07180779462400243,0.08020821904857064,0.06932004740476654
10,2014-04-23,0.33407987487113644,0.29891512152962096,0.3670050035992427,0.07237346295747128,0.08088756876900545,0.06588062073187692
11,2014-05-29,0.32342453648967684,0.3388279698909955,0.33774749361932765,0.06560263974990077,0.06262028297261528,0.06282060934410656
12,2014-07-03,0.4120395122099178,0.4711540297650222,0.11680645802506007,0.06741064872384488,0.05895280325158158,0.23779379400382153
13,2014-08-08,0.37859278309371175,0.4268897006887536,0.1945175162175347,0.06661565579750539,0.059078976338148854,0.12965519515366328
14,2014-09-15,0.3174176614446872,0.3202527846220439,0.3623295539332689,0.056972271075283853,0.0564679088528513,0.049910378150494365
15,2014-10-20,0.3487139866614791,0.2844441913866349,0.3668418219518859,0.04990011721196677,0.06117498382734643,0.04743425576526081
16,2014-11-24,0.33876447051245817,0.3042714961566858,0.3569640333308561,0.05019241980993208,0.05588235748475987,0.04763339421619225
17,2014-12-31,0.32058761531801777,0.32342454634853546,0.35598783833344666,0.05290467726021723,0.052440621818929556,0.047643718396176676
18,2015-02-06,0.3049974712733472,0.29679424454362696,0.3982082841830259,0.06113637760496484,0.06282615284874858,0.04682584796190836
19,2015-03-16,0.3385427345157498,0.30248672583146535,0.3589705396527848,0.0505123339159545,0.05653333581390846,0.04763784701446663
20,2015-04-21,0.3450725943328023,0.30323425427343703,0.3516931513937607,0.04739429403175301,0.05393345826742007,0.04650210541005947
21,2015-05-27,0.33827330505345043,0.3059397905027425,0.35578690444380706,0.04730512957848663,0.052304613604528705,0.04497653603499555
