timestamp,cpu_pct,mem_used_gb,mem_pct
2026-04-09 18:41:12,19.2,4.900089856,29.4
2026-04-09 18:41:17,32.0,4.994486272,29.9
2026-04-09 18:41:22,33.5,5.005709312,30.0
2026-04-09 18:41:24,32.7,5.207580672,31.2
2026-04-09 18:41:29,32.3,5.220421632,31.3
2026-04-09 18:41:34,33.3,5.219586048,31.3
2026-04-09 18:41:39,34.6,5.240557568,31.4
2026-04-09 18:41:44,32.4,5.250240512,31.5
2026-04-09 18:41:49,33.4,5.251674112,31.5
2026-04-09 18:41:51,34.6,5.228314624,31.3
2026-04-09 18:41:56,32.4,5.236916224,31.4
2026-04-09 18:42:01,32.4,5.229518848,31.3
2026-04-09 18:42:06,33.4,5.24531712,31.4
2026-04-09 18:42:11,33.2,5.228138496,31.3
2026-04-09 18:42:16,33.4,5.22706944,31.3
2026-04-09 18:42:21,34.1,5.233225728,31.4
2026-04-09 18:42:24,33.5,5.236146176,31.4
2026-04-09 18:42:29,37.9,5.228527616,31.3
2026-04-09 18:42:34,34.8,5.233442816,31.4
2026-04-09 18:42:39,33.5,5.245202432,31.4
2026-04-09 18:42:44,34.1,5.245005824,31.4
2026-04-09 18:42:49,34.0,5.240406016,31.4
2026-04-09 18:42:51,33.9,5.247156224,31.5
2026-04-09 18:42:56,33.1,5.251026944,31.5
2026-04-09 18:43:01,33.7,5.249835008,31.5
2026-04-09 18:43:06,33.4,5.249724416,31.5
2026-04-09 18:43:11,33.7,5.250895872,31.5
2026-04-09 18:43:16,34.1,5.251694592,31.5
2026-04-09 18:43:21,34.0,5.254119424,31.5
2026-04-09 18:43:23,32.9,5.303242752,31.8
2026-04-09 18:43:28,34.3,5.30030592,31.8
2026-04-09 18:43:33,33.2,5.313970176,31.9
2026-04-09 18:43:38,33.4,5.355257856,32.1
2026-04-09 18:43:43,33.1,5.351804928,32.1
2026-04-09 18:43:48,32.7,5.361410048,32.1
2026-04-09 18:43:50,32.6,5.357109248,32.1
2026-04-09 18:43:55,32.7,5.357326336,32.1
2026-04-09 18:44:00,32.6,5.367083008,32.2
2026-04-09 18:44:05,32.0,5.364133888,32.2
2026-04-09 18:44:10,32.6,5.369094144,32.2
2026-04-09 18:44:15,32.5,5.374222336,32.2
2026-04-09 18:44:20,31.7,5.363183616,32.1
2026-04-09 18:44:22,32.2,5.36377344,32.2
2026-04-09 18:44:27,35.0,5.375909888,32.2
2026-04-09 18:44:32,33.2,5.375811584,32.2
2026-04-09 18:44:37,34.3,5.391020032,32.3
2026-04-09 18:44:42,34.2,5.380767744,32.3
